datasource_name,dataset_name,URL,publisher_id,datasource_id
Electricity Maps Estimation; tsoc.org.cy,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,ac0a54c3-4d4c-3fb1-8e91-23c678a6c4eb
ceps.cz,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,9f9fda06-7d9f-3625-92b0-fccb2972a77e
demanda.ree.es; Electricity Maps Estimation,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,a068d13c-6fcf-3492-be1a-a9cba3a16cd5
demanda.ree.es,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,5bc86f50-b143-3217-8f31-55274564c386
Electricity Maps Estimation; opendata.edf.fr,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,2111c4a7-a21f-3995-916e-6733c7cad942
opendata.edf.fr; Electricity Maps Estimation; edf.fr; opendata-corse.edf.fr,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,937d2b40-1b87-38e5-a6dc-06f2dc11977e
edf.fr; opendata-corse.edf.fr; Electricity Maps Estimation,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,fe110c3a-2473-3b6a-a07e-14f8291fc824
Electricity Maps Estimation; opendata-corse.edf.fr,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,55be2d6d-a6d1-3072-abae-b4d7d92b1fac
cenace.gob.mx; Electricity Maps Estimation,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,91cbec8c-55c3-3e34-a060-12a961f337fc
Electricity Maps Estimation; cenace.gob.mx,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,dfc8754d-cbaa-35aa-802b-cae4508ffbf4
cenace.gob.mx,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,a2fed249-0b20-3185-936b-e8753765309f
Electricity Maps Estimation; niggrid.org,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,31ec2391-dfb6-3b9f-8872-cca504fc3784
niggrid.org; Electricity Maps Estimation,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,b8b12580-87b1-3b64-ac12-1b59b7301eb1
niggrid.org,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,c11a8c12-25ca-3d4a-a8b3-1995611fce49
eia.gov,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,ce83b30a-b559-34aa-999f-800e342c0659
eia.gov; Electricity Maps Estimation,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,3c27bb87-6d8b-3453-ae6f-ebf18d58026f
Electricity Maps Estimation; eia.gov,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,7dd82ec2-ccbe-3a4a-a8d4-649ef05bfd07
pronos.adme.com.uy,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,66f47a49-fabb-3af4-9988-5a337b7761e0
pronos.adme.com.uy; Electricity Maps Estimation,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,1bcf3e4b-4fe2-3ea0-a79d-10eb135e089f
Electricity Maps Estimation; pronos.adme.com.uy,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,861a1145-f920-336f-870c-24f3963aa855
eskom.co.za,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,f23e3a3e-2817-3d71-9f04-c7c61080b3f1
eskom.co.za; Electricity Maps Estimation,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,dc9551a2-28c1-37ba-b2b8-5e9686f5bd9f
Electricity Maps Estimation; eskom.co.za,Carbon intensity,https://portal.electricitymaps.com/datasets/,758dea5b-1c00-3f00-994a-98d9387520fa,b4e6e644-f7fa-31ae-a7ce-49a33a4e4c09
