formula_input_value,datasource,metadata,gas,parameter_code,parameter_name,year,formula_input_units,region,actor_id,rnk,methodology_name,gpc_refno,formula_name,methodology_id,formulainput_id
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-untreated', 'treatment-name': 'treatment-name-sewer', 'treatment-type': 'treatment-type-stagnant-sewer'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,38f72aff-6f3a-45c3-a5b2-50ebb08220d8
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-septic-system', 'treatment-type': 'treatment-type-septic-system'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,55e4aff2-c6c9-44db-b483-f3e7df51a4dd
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-dry-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,f659288d-912e-43dd-999b-9af276eab84d
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,df5a87fb-30d5-4e0a-8a35-35041be5a882
0.7,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-wet-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,41bd39f2-d996-4c44-8a08-3dfdb4f98916
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-sediment-removal'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,99d292af-415b-4327-95be-f4fbe30e3b8a
0.3,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': nan}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,2af726f2-899e-4ce2-8ab5-a97919318e1a
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-digester-for-sludge'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,03683e02-5529-4b08-86c4-49a4bdbf7511
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-reactor'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,1d6395ec-01b1-4576-af1e-d86c576a6ebc
0.2,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-shallow-lagoon'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,6ef56f3f-48c2-44ea-ac79-73242610c48e
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-deep-lagoon'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-outside-domestic-calculator-activity,III.4.2,domestic-wastewater,b0da6b28-c5e0-3f8a-859f-96bac5ff7f6c,39ecd20c-0965-4629-89b1-d783215c723d
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-untreated', 'treatment-name': 'treatment-name-none', 'treatment-type': 'treatment-type-sea-river-lake-discharge'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,08f5bf9c-ff42-41be-82ba-4c4331d77cec
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-untreated', 'treatment-name': 'treatment-name-sewer', 'treatment-type': 'treatment-type-stagnant-sewer'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,684652b9-b7a3-41f1-a9b3-58e38a51539b
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-septic-system', 'treatment-type': 'treatment-type-septic-system'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,558f6ef0-976a-415d-a6d5-6623c38bb8d7
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-dry-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,17793938-9ef2-4124-bf92-e64243f10021
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,5418c59d-a17d-44a0-b011-9d0a63e76fdc
0.7,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-wet-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,3184a37d-9d9e-4422-82a1-6b25b791e57b
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-sediment-removal'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,1cf246c4-27ac-4430-b08b-ef642263a3f2
0.3,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': nan}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-industrial-calculator-activity,III.4.1,industral-wastewater,a6c1fa15-4405-3900-b649-966c8c7aeae6,9848df3d-b11b-4d72-a420-d3ae1b3345b5
