GPC_refno,activity_name,activity_units,activity_value,emission_factor_units,emission_factor_value,emissions_units,emissions_value,gas_name,id,region_code,region_name,source_name,temporal_granularity,year
I.3.1,natural gas consumption by industrial buildings,TJ,4351.300240324021,kg/TJ,56100.0,kg,244107943.48217756,CO2,6495ec35-93c5-30cf-b2f6-7233062855d1,AR-A,SALTA,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,408.1205229600001,kg/TJ,56100.0,kg,22895561.338056006,CO2,63ef7781-20c4-377e-801e-5c5c9a44fbda,AR-J,SAN JUAN,ENARGAS,annual,2018
I.1.1,natural gas consumption by residential buildings,TJ,3790.5303016200005,kg/TJ,56100.0,kg,212648749.92088202,CO2,533dd1f5-e9a1-35b3-a171-40316b153624,AR-J,SAN JUAN,ENARGAS,annual,2018
I.2.1,natural gas consumption by official entities,TJ,80.89225932000001,kg/TJ,56100.0,kg,4538055.747852,CO2,b679491a-a57c-3ec1-b790-06ac28e0c6aa,AR-J,SAN JUAN,ENARGAS,annual,2018
I.3.1,natural gas consumption by industrial buildings,TJ,6303.484540380001,kg/TJ,56100.0,kg,353625482.715318,CO2,c4e1681a-b5c2-3ea2-a29b-04335cc5df3d,AR-J,SAN JUAN,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,970.6681839000001,kg/TJ,56100.0,kg,54454485.11679001,CO2,f972ce4b-2212-32a1-b153-0859adb8cec0,AR-D,SAN LUIS,ENARGAS,annual,2018
I.1.1,natural gas consumption by residential buildings,TJ,3410.6325351600008,kg/TJ,56100.0,kg,191336485.22247604,CO2,48d2e35f-adce-3a9d-94e3-725150fb9a0e,AR-D,SAN LUIS,ENARGAS,annual,2018
I.2.1,natural gas consumption by official entities,TJ,122.58408306000003,kg/TJ,56100.0,kg,6876967.059666001,CO2,688250f9-450e-312e-b2b9-ca727cfc5ef5,AR-D,SAN LUIS,ENARGAS,annual,2018
I.3.1,natural gas consumption by industrial buildings,TJ,3730.581274020001,kg/TJ,56100.0,kg,209285609.47252205,CO2,70dbcf58-50f4-3ec4-a415-acf38407cfad,AR-D,SAN LUIS,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,1589.1552946200002,kg/TJ,56100.0,kg,89151612.02818201,CO2,e40d1f59-4a09-3cf6-a087-4b81799f95df,AR-Z,SANTA CRUZ,ENARGAS,annual,2018
I.1.1,natural gas consumption by residential buildings,TJ,12953.855954100001,kg/TJ,56100.0,kg,726711319.0250101,CO2,21e31090-6863-3c19-aafb-83e0608edf64,AR-Z,SANTA CRUZ,ENARGAS,annual,2018
I.2.1,natural gas consumption by official entities,TJ,1111.12019142,kg/TJ,56100.0,kg,62333842.738662004,CO2,a4eef1d9-d9ae-3771-84a3-1d5106188b4f,AR-Z,SANTA CRUZ,ENARGAS,annual,2018
I.3.1,natural gas consumption by industrial buildings,TJ,80.58083580000002,kg/TJ,56100.0,kg,4520584.888380001,CO2,62a821cf-b7f5-38e5-afe1-c9c0a4951313,AR-Z,SANTA CRUZ,ENARGAS,annual,2018
I.2.1,natural gas consumption by commercial buildings,TJ,1663.5855159000002,kg/TJ,56100.0,kg,93327147.44199002,CO2,2ee91349-6090-39c4-9a94-2741fd749eea,AR-S,SANTA FE,ENARGAS,annual,2018
I.1.1,natural gas consumption by residential buildings,TJ,18438.167667546328,kg/TJ,56100.0,kg,1034381206.149349,CO2,c784c937-6862-36d4-87c3-c31f13ceb68c,AR-S,SANTA FE,ENARGAS,annual,2018
