"";"Provincia";"Tipo de Usuario";"Año";"Consumo de Gas"
"1";"BUENOS AIRES";"CENTRALES ELECTRICAS";"2018";2242951,29
"2";"BUENOS AIRES";"COMERCIALES";"2018";431811,77330907
"3";"BUENOS AIRES";"RESIDENCIALES";"2018";3770721
"4";"BUENOS AIRES";"ENTES OFICIALES";"2018";153723
"5";"BUENOS AIRES";"GNC";"2018";1048265
"6";"BUENOS AIRES";"INDUSTRIALES";"2018";4861262,16
"7";"BUENOS AIRES";"SDB";"2018";270565
"8";"CAPITAL FEDERAL";"CENTRALES ELECTRICAS";"2018";2796434
"9";"CAPITAL FEDERAL";"COMERCIALES";"2018";126666
"10";"CAPITAL FEDERAL";"RESIDENCIALES";"2018";955279
"11";"CAPITAL FEDERAL";"ENTES OFICIALES";"2018";43021
"12";"CAPITAL FEDERAL";"GNC";"2018";176314
"13";"CAPITAL FEDERAL";"INDUSTRIALES";"2018";66953
"14";"CATAMARCA";"COMERCIALES";"2018";3108
"15";"CATAMARCA";"RESIDENCIALES";"2018";14154
"16";"CATAMARCA";"ENTES OFICIALES";"2018";299
"17";"CATAMARCA";"GNC";"2018";15335
"18";"CATAMARCA";"INDUSTRIALES";"2018";85007
"19";"CHUBUT";"CENTRALES ELECTRICAS";"2018";190165
"20";"CHUBUT";"COMERCIALES";"2018";88637
"21";"CHUBUT";"RESIDENCIALES";"2018";631630
"22";"CHUBUT";"ENTES OFICIALES";"2018";40882
"23";"CHUBUT";"GNC";"2018";1459
"24";"CHUBUT";"INDUSTRIALES";"2018";566667
"25";"CORDOBA";"CENTRALES ELECTRICAS";"2018";678800
"26";"CORDOBA";"COMERCIALES";"2018";86870
"27";"CORDOBA";"RESIDENCIALES";"2018";570567
"28";"CORDOBA";"ENTES OFICIALES";"2018";13058
"29";"CORDOBA";"GNC";"2018";371041
"30";"CORDOBA";"INDUSTRIALES";"2018";503290
"31";"CORDOBA";"SDB";"2018";73703
"32";"CORRIENTES";"COMERCIALES";"2018";2,27
"33";"CORRIENTES";"RESIDENCIALES";"2018";0,08
"35";"CORRIENTES";"GNC";"2018";441
"37";"ENTRE RIOS";"COMERCIALES";"2018";21845
"38";"ENTRE RIOS";"RESIDENCIALES";"2018";91434
"39";"ENTRE RIOS";"ENTES OFICIALES";"2018";1457
"40";"ENTRE RIOS";"GNC";"2018";42888
"41";"ENTRE RIOS";"INDUSTRIALES";"2018";115190
"42";"JUJUY";"CENTRALES ELECTRICAS";"2018";74029
"43";"JUJUY";"COMERCIALES";"2018";8801,103
"44";"JUJUY";"RESIDENCIALES";"2018";48781
"45";"JUJUY";"ENTES OFICIALES";"2018";2226,678
"46";"JUJUY";"GNC";"2018";45030
"47";"JUJUY";"INDUSTRIALES";"2018";151259,897
"48";"JUJUY";"SDB";"2018";5600
"49";"LA PAMPA";"COMERCIALES";"2018";20040
"50";"LA PAMPA";"RESIDENCIALES";"2018";232122
"51";"LA PAMPA";"ENTES OFICIALES";"2018";13918
"52";"LA PAMPA";"GNC";"2018";8881
"53";"LA PAMPA";"INDUSTRIALES";"2018";31398
"54";"LA RIOJA";"CENTRALES ELECTRICAS";"2018";7539
"55";"LA RIOJA";"COMERCIALES";"2018";2246
"56";"LA RIOJA";"RESIDENCIALES";"2018";10870
"57";"LA RIOJA";"ENTES OFICIALES";"2018";370
"58";"LA RIOJA";"GNC";"2018";6146
"59";"LA RIOJA";"INDUSTRIALES";"2018";12646
"60";"LA RIOJA";"SDB";"2018";52
"61";"MENDOZA";"CENTRALES ELECTRICAS";"2018";727496
"62";"MENDOZA";"COMERCIALES";"2018";44982
"63";"MENDOZA";"RESIDENCIALES";"2018";431945
"64";"MENDOZA";"ENTES OFICIALES";"2018";14133
"65";"MENDOZA";"GNC";"2018";146326
"66";"MENDOZA";"INDUSTRIALES";"2018";416945
"67";"MENDOZA";"SDB";"2018";40290
"68";"NEUQUEN";"CENTRALES ELECTRICAS";"2018";11271
"69";"NEUQUEN";"COMERCIALES";"2018";77244
"70";"NEUQUEN";"RESIDENCIALES";"2018";603793
"71";"NEUQUEN";"ENTES OFICIALES";"2018";34874
"72";"NEUQUEN";"GNC";"2018";9645
"73";"NEUQUEN";"INDUSTRIALES";"2018";46525
"74";"NEUQUEN";"SDB";"2018";3305
"75";"RIO NEGRO";"CENTRALES ELECTRICAS";"2018";5409
"76";"RIO NEGRO";"COMERCIALES";"2018";108181
"77";"RIO NEGRO";"RESIDENCIALES";"2018";646902
"78";"RIO NEGRO";"ENTES OFICIALES";"2018";34717
"79";"RIO NEGRO";"GNC";"2018";16969
"80";"RIO NEGRO";"INDUSTRIALES";"2018";142910
"81";"SALTA";"CENTRALES ELECTRICAS";"2018";469775
"82";"SALTA";"COMERCIALES";"2018";18080,982
"83";"SALTA";"RESIDENCIALES";"2018";109588
"84";"SALTA";"ENTES OFICIALES";"2018";4036,411
"85";"SALTA";"GNC";"2018";71405
"86";"SALTA";"INDUSTRIALES";"2018";111778,333
"87";"SAN JUAN";"CENTRALES ELECTRICAS";"2018";5240
"88";"SAN JUAN";"COMERCIALES";"2018";10484
"89";"SAN JUAN";"RESIDENCIALES";"2018";97373
"90";"SAN JUAN";"ENTES OFICIALES";"2018";2078
"91";"SAN JUAN";"GNC";"2018";48199
"92";"SAN JUAN";"INDUSTRIALES";"2018";161927
"93";"SAN JUAN";"SDB";"2018";3771
"94";"SAN LUIS";"COMERCIALES";"2018";24935
"95";"SAN LUIS";"RESIDENCIALES";"2018";87614
"96";"SAN LUIS";"ENTES OFICIALES";"2018";3149
"97";"SAN LUIS";"GNC";"2018";43576
"98";"SAN LUIS";"INDUSTRIALES";"2018";95833
"99";"SAN LUIS";"SDB";"2018";28128
"100";"SANTA CRUZ";"CENTRALES ELECTRICAS";"2018";16966
"101";"SANTA CRUZ";"COMERCIALES";"2018";40823
"102";"SANTA CRUZ";"RESIDENCIALES";"2018";332765
"103";"SANTA CRUZ";"ENTES OFICIALES";"2018";28543
"104";"SANTA CRUZ";"INDUSTRIALES";"2018";2070
"105";"SANTA CRUZ";"SDB";"2018";157251
"106";"SANTA FE";"CENTRALES ELECTRICAS";"2018";10048
"107";"SANTA FE";"COMERCIALES";"2018";42735
"108";"SANTA FE";"RESIDENCIALES";"2018";473648,686972553
"109";"SANTA FE";"ENTES OFICIALES";"2018";5123
"110";"SANTA FE";"GNC";"2018";199221
"111";"SANTA FE";"INDUSTRIALES";"2018";1852193
"112";"SANTA FE";"SDB";"2018";120055,81
"113";"SANTIAGO DEL ESTERO";"CENTRALES ELECTRICAS";"2018";51658
"114";"SANTIAGO DEL ESTERO";"COMERCIALES";"2018";8132
"115";"SANTIAGO DEL ESTERO";"RESIDENCIALES";"2018";31343
"116";"SANTIAGO DEL ESTERO";"ENTES OFICIALES";"2018";1157,363
"117";"SANTIAGO DEL ESTERO";"GNC";"2018";40678
"118";"SANTIAGO DEL ESTERO";"INDUSTRIALES";"2018";23953,99
"119";"TIERRA DEL FUEGO";"CENTRALES ELECTRICAS";"2018";169895
"120";"TIERRA DEL FUEGO";"COMERCIALES";"2018";72579
"121";"TIERRA DEL FUEGO";"RESIDENCIALES";"2018";314351
"122";"TIERRA DEL FUEGO";"ENTES OFICIALES";"2018";32605
"123";"TIERRA DEL FUEGO";"GNC";"2018";653
"124";"TIERRA DEL FUEGO";"INDUSTRIALES";"2018";19824
"125";"TUCUMAN";"CENTRALES ELECTRICAS";"2018";232209
"126";"TUCUMAN";"COMERCIALES";"2018";20193,315
"127";"TUCUMAN";"RESIDENCIALES";"2018";114322
"128";"TUCUMAN";"ENTES OFICIALES";"2018";2018,27
"129";"TUCUMAN";"GNC";"2018";107396
"130";"TUCUMAN";"INDUSTRIALES";"2018";312958,833
"131";"BUENOS AIRES";"CENTRALES ELECTRICAS";"2019";1808487,276
"132";"BUENOS AIRES";"COMERCIALES";"2019";530573,566
"133";"BUENOS AIRES";"RESIDENCIALES";"2019";3559109,63
"134";"BUENOS AIRES";"ENTES OFICIALES";"2019";137582,24
"135";"BUENOS AIRES";"GNC";"2019";1097104,17
"136";"BUENOS AIRES";"INDUSTRIALES";"2019";5328140,42
"137";"BUENOS AIRES";"SDB";"2019";261761,68
"138";"CAPITAL FEDERAL";"CENTRALES ELECTRICAS";"2019";2711292
"139";"CAPITAL FEDERAL";"COMERCIALES";"2019";173629
"140";"CAPITAL FEDERAL";"RESIDENCIALES";"2019";922194
"141";"CAPITAL FEDERAL";"ENTES OFICIALES";"2019";47270
"142";"CAPITAL FEDERAL";"GNC";"2019";181485
"143";"CAPITAL FEDERAL";"INDUSTRIALES";"2019";65420
"144";"CATAMARCA";"COMERCIALES";"2019";2923
"145";"CATAMARCA";"RESIDENCIALES";"2019";12301
"146";"CATAMARCA";"ENTES OFICIALES";"2019";323
"147";"CATAMARCA";"GNC";"2019";16191
"148";"CATAMARCA";"INDUSTRIALES";"2019";77281
"149";"CHUBUT";"CENTRALES ELECTRICAS";"2019";151218
"150";"CHUBUT";"COMERCIALES";"2019";85123
"151";"CHUBUT";"RESIDENCIALES";"2019";624799
"152";"CHUBUT";"ENTES OFICIALES";"2019";40753
"153";"CHUBUT";"GNC";"2019";1489
"154";"CHUBUT";"INDUSTRIALES";"2019";672493
"155";"CORDOBA";"CENTRALES ELECTRICAS";"2019";477737
"156";"CORDOBA";"COMERCIALES";"2019";80403
"157";"CORDOBA";"RESIDENCIALES";"2019";539413
"158";"CORDOBA";"ENTES OFICIALES";"2019";16025
"159";"CORDOBA";"GNC";"2019";385326
"160";"CORDOBA";"INDUSTRIALES";"2019";475230
"161";"CORDOBA";"SDB";"2019";69405
"162";"CORRIENTES";"COMERCIALES";"2019";8
"163";"CORRIENTES";"RESIDENCIALES";"2019";0
"164";"CORRIENTES";"ENTES OFICIALES";"2019";0
"165";"CORRIENTES";"GNC";"2019";558
"167";"ENTRE RIOS";"COMERCIALES";"2019";20449
"168";"ENTRE RIOS";"RESIDENCIALES";"2019";80513
"169";"ENTRE RIOS";"ENTES OFICIALES";"2019";1699
"170";"ENTRE RIOS";"GNC";"2019";44310
"171";"ENTRE RIOS";"INDUSTRIALES";"2019";117792
"172";"JUJUY";"CENTRALES ELECTRICAS";"2019";49329
"173";"JUJUY";"COMERCIALES";"2019";8337,55
"174";"JUJUY";"RESIDENCIALES";"2019";47743
"175";"JUJUY";"ENTES OFICIALES";"2019";2099,501
"176";"JUJUY";"GNC";"2019";46524
"177";"JUJUY";"INDUSTRIALES";"2019";113961,123
"178";"JUJUY";"SDB";"2019";4571
"179";"LA PAMPA";"COMERCIALES";"2019";18757
"180";"LA PAMPA";"RESIDENCIALES";"2019";229982
"181";"LA PAMPA";"ENTES OFICIALES";"2019";14081
"182";"LA PAMPA";"GNC";"2019";8717
"183";"LA PAMPA";"INDUSTRIALES";"2019";30557
"184";"LA RIOJA";"CENTRALES ELECTRICAS";"2019";15911
"185";"LA RIOJA";"COMERCIALES";"2019";2083
"186";"LA RIOJA";"RESIDENCIALES";"2019";8967
"187";"LA RIOJA";"ENTES OFICIALES";"2019";366
"188";"LA RIOJA";"GNC";"2019";6177
"189";"LA RIOJA";"INDUSTRIALES";"2019";13097
"190";"LA RIOJA";"SDB";"2019";0
"191";"MENDOZA";"CENTRALES ELECTRICAS";"2019";739760
"192";"MENDOZA";"COMERCIALES";"2019";42132
"193";"MENDOZA";"RESIDENCIALES";"2019";411870
"194";"MENDOZA";"ENTES OFICIALES";"2019";18654
"195";"MENDOZA";"GNC";"2019";147473
"196";"MENDOZA";"INDUSTRIALES";"2019";412533
"197";"MENDOZA";"SDB";"2019";30774
"198";"NEUQUEN";"CENTRALES ELECTRICAS";"2019";12288
"199";"NEUQUEN";"COMERCIALES";"2019";76217
"200";"NEUQUEN";"RESIDENCIALES";"2019";567611
"201";"NEUQUEN";"ENTES OFICIALES";"2019";34922
"202";"NEUQUEN";"GNC";"2019";9140
"203";"NEUQUEN";"INDUSTRIALES";"2019";236684
"204";"NEUQUEN";"SDB";"2019";3363
"205";"RIO NEGRO";"CENTRALES ELECTRICAS";"2019";6750
"206";"RIO NEGRO";"COMERCIALES";"2019";102555
"207";"RIO NEGRO";"RESIDENCIALES";"2019";609720
"208";"RIO NEGRO";"ENTES OFICIALES";"2019";35625
"209";"RIO NEGRO";"GNC";"2019";15423
"210";"RIO NEGRO";"INDUSTRIALES";"2019";147574
"211";"SALTA";"CENTRALES ELECTRICAS";"2019";223427
"212";"SALTA";"COMERCIALES";"2019";17148,137
"213";"SALTA";"RESIDENCIALES";"2019";107020
"214";"SALTA";"ENTES OFICIALES";"2019";4013,712
"215";"SALTA";"GNC";"2019";73394
"216";"SALTA";"INDUSTRIALES";"2019";105565,782
"217";"SAN JUAN";"CENTRALES ELECTRICAS";"2019";12803
"218";"SAN JUAN";"COMERCIALES";"2019";9774
"219";"SAN JUAN";"RESIDENCIALES";"2019";94224
"220";"SAN JUAN";"ENTES OFICIALES";"2019";2708
"221";"SAN JUAN";"GNC";"2019";48722
"222";"SAN JUAN";"INDUSTRIALES";"2019";160799
"223";"SAN JUAN";"SDB";"2019";3657
"224";"SAN LUIS";"COMERCIALES";"2019";23440
"225";"SAN LUIS";"RESIDENCIALES";"2019";80513
"226";"SAN LUIS";"ENTES OFICIALES";"2019";4255
"227";"SAN LUIS";"GNC";"2019";45048
"228";"SAN LUIS";"INDUSTRIALES";"2019";92718
"229";"SAN LUIS";"SDB";"2019";22082
"230";"SANTA CRUZ";"CENTRALES ELECTRICAS";"2019";11333
"231";"SANTA CRUZ";"COMERCIALES";"2019";37156
"232";"SANTA CRUZ";"RESIDENCIALES";"2019";319308
"233";"SANTA CRUZ";"ENTES OFICIALES";"2019";28352
"234";"SANTA CRUZ";"INDUSTRIALES";"2019";1557
"235";"SANTA CRUZ";"SDB";"2019";155855
"236";"SANTA FE";"CENTRALES ELECTRICAS";"2019";2639,79
"237";"SANTA FE";"COMERCIALES";"2019";127673,854
"238";"SANTA FE";"RESIDENCIALES";"2019";461104,78
"239";"SANTA FE";"ENTES OFICIALES";"2019";17367,2
"240";"SANTA FE";"GNC";"2019";202044,85
"241";"SANTA FE";"INDUSTRIALES";"2019";1591767,29
"242";"SANTA FE";"SDB";"2019";79569,08
"243";"SANTIAGO DEL ESTERO";"CENTRALES ELECTRICAS";"2019";20032
"244";"SANTIAGO DEL ESTERO";"COMERCIALES";"2019";8061,752
"245";"SANTIAGO DEL ESTERO";"RESIDENCIALES";"2019";31986
"246";"SANTIAGO DEL ESTERO";"ENTES OFICIALES";"2019";1077,244
"247";"SANTIAGO DEL ESTERO";"GNC";"2019";40799
"248";"SANTIAGO DEL ESTERO";"INDUSTRIALES";"2019";15465,555
"249";"TIERRA DEL FUEGO";"CENTRALES ELECTRICAS";"2019";171253
"250";"TIERRA DEL FUEGO";"COMERCIALES";"2019";72806
"251";"TIERRA DEL FUEGO";"RESIDENCIALES";"2019";376459
"252";"TIERRA DEL FUEGO";"ENTES OFICIALES";"2019";33802
"253";"TIERRA DEL FUEGO";"GNC";"2019";703
"254";"TIERRA DEL FUEGO";"INDUSTRIALES";"2019";17770
"255";"TUCUMAN";"CENTRALES ELECTRICAS";"2019";121435
"256";"TUCUMAN";"COMERCIALES";"2019";18826,352
"257";"TUCUMAN";"RESIDENCIALES";"2019";109378
"258";"TUCUMAN";"ENTES OFICIALES";"2019";1899,506
"259";"TUCUMAN";"GNC";"2019";108995
"260";"TUCUMAN";"INDUSTRIALES";"2019";256476,275
"261";"BUENOS AIRES";"CENTRALES ELECTRICAS";"2020";1531918,03
"262";"BUENOS AIRES";"COMERCIALES";"2020";407425,764
"263";"BUENOS AIRES";"RESIDENCIALES";"2020";3781837,54
