"id","activity_data","inventory_value_id","datasource_id","metadata","created","last_updated","co2eq","co2eq_years","activity_data_jsonb","id-2","activity_units","activity_value","co2eq-2","sub_category_id","inventory_id","created-2","last_updated-2","datasource_id-2","co2eq_years-2","gpc_reference_number","sector_id","unavailable_reason","unavailable_explanation","sub_sector_id","input_methodology"
"85af71b2-f318-4b69-b801-f48f7d6989fa",NULL,"88cf8d1d-4eeb-40f7-b089-ca1f35daa81a",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 19:01:30.003","2024-10-23 19:01:30.007","2261293",100,"{""ch4_amount"": 1, ""co2_amount"": 2261000, ""n2o_amount"": 1, ""biological-treatment-inboundary-treatment-type"": ""treatment-type-composting"", ""direct-measure-biological-treatment-inboundary-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File""}","88cf8d1d-4eeb-40f7-b089-ca1f35daa81a",NULL,NULL,"2261293","ac10b696-5b44-303a-b6f9-2a1906be76b1","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 19:01:30","2024-10-23 19:01:30.006",NULL,100,"III.2.1","d5acb72e-d915-310f-b3a3-77f634bcbf5e","","","a8baeb06-0ab2-3215-a93e-2fcbe0e8f8a9","direct-measure"
"862b5627-35d5-47b4-a846-55fd66f0c70b",NULL,"8fdf41a7-cd5f-4c71-b549-d5cfa547a6ca",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:20:03.525","2024-10-23 18:20:03.531","2247413",100,"{""ch4_amount"": 1, ""co2_amount"": 2247120, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""energy-industries-type"": ""type-electricity-generation"", ""energy-industries-energy-usage"": ""energy-usage-electricity""}","8fdf41a7-cd5f-4c71-b549-d5cfa547a6ca",NULL,NULL,"2247413","ac047081-bd46-3fb9-8b6b-426f20fad176","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:20:03.522","2024-10-23 18:20:03.53",NULL,100,"I.4.2","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","4f342e84-0269-3f04-aceb-1d6cd0a183bc","direct-measure"
"9f59d888-e2b0-4a91-a3b1-e340ccdc09a1",NULL,"245174de-a06f-42f8-b4c2-618b0f6b6b2a",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:49:09.448","2024-10-23 18:49:09.454","21666",100,"{""ch4_amount"": 1, ""co2_amount"": 21373, ""n2o_amount"": 1, ""railways-vehicle-type"": [""vehicle-type-passenger-trains"", ""vehicle-type-freight-trains""], ""railways-electricity-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File""}","245174de-a06f-42f8-b4c2-618b0f6b6b2a",NULL,NULL,"21666","9c36256a-80e5-31a4-a3fa-a9a641135a61","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:49:09.446","2024-10-23 18:49:09.452",NULL,100,"II.2.2","73eb7b71-159c-3eda-b7fc-f6eb53754dc3","","","8cf35b86-9ed2-36bd-b04d-eddc47db6676","direct-measure"
"a1b24075-652c-4ff1-808e-bd2293cf2f06",NULL,"0d286b40-2d16-4de3-a66e-75a64ad9ea8f",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:17:51.124","2024-10-23 18:17:51.13","11731",100,"{""ch4_amount"": 1, ""co2_amount"": 11438, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""energy-industries-type"": ""type-all"", ""energy-industries-fuel-type"": ""fuel-type-all""}","0d286b40-2d16-4de3-a66e-75a64ad9ea8f",NULL,NULL,"11731","5b799042-8ab0-3056-9166-5c74db8756a4","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:17:51.12","2024-10-23 18:17:51.128",NULL,100,"I.4.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","4f342e84-0269-3f04-aceb-1d6cd0a183bc","direct-measure"
"a3d76688-9351-4416-aa39-48cfc2dbd585",NULL,"dfabc51e-4d6c-48bf-9635-532a53e3950f",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:55:19.672","2024-10-23 18:55:19.676","931963",100,"{""ch4_amount"": 1, ""co2_amount"": 931670, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""aviation-fuel-type"": [""fuel-type-gasoline""], ""aviation-vehicle-type"": [""vehicle-type-passenger-aircraft"", ""vehicle-type-cargo-aircraft"", ""vehicle-type-private-and-business-aircraft""]}","dfabc51e-4d6c-48bf-9635-532a53e3950f",NULL,NULL,"931963","e47f1e6b-ca6c-32a7-a705-d2ee77424ef9","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:55:19.67","2024-10-23 18:55:19.675",NULL,100,"II.4.1","73eb7b71-159c-3eda-b7fc-f6eb53754dc3","","","5b84b809-1878-3b1b-bf6b-250c64d5e920","direct-measure"
"a412b398-97e5-47b6-9316-01ad03e6c11e",NULL,"b4f2f052-ba98-499a-acc2-7d41869ed39e",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 19:00:09.082","2024-10-23 19:00:09.086","4889293",100,"{""ch4_amount"": 1, ""co2_amount"": 4889000, ""n2o_amount"": 1, ""landfill-id"": ""Usina Verde"", ""landfill-address"": ""Rio"", ""direct-measure-solid-waste-outboundary-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File""}","b4f2f052-ba98-499a-acc2-7d41869ed39e",NULL,NULL,"4889293","e7218f77-9896-30db-8a47-afb6b1d084a8","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 19:00:09.08","2024-10-23 19:00:09.085",NULL,100,"III.1.3","d5acb72e-d915-310f-b3a3-77f634bcbf5e","","","172d10c0-6b80-3173-902e-eca5c0af84c8","direct-measure"
"ae63aab9-cef7-42c4-b260-1d9b12364424",NULL,"a21a343a-e66e-460e-9e52-0c2503cf1c96",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:24:26.116","2024-10-23 18:24:26.132","12293",100,"{""ch4_amount"": 1, ""co2_amount"": 12000, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""agriculture-forestry-fishing-activities-type"": ""type-stationary"", ""agriculture-forestry-fishing-activities-fuel-type"": ""fuel-type-all""}","a21a343a-e66e-460e-9e52-0c2503cf1c96",NULL,NULL,"12293","c7025070-1f90-3034-b366-6ec4ac178666","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:22:17.783","2024-10-23 18:24:26.131",NULL,100,"I.5.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","95c049d1-eff9-3b26-af49-2b32982e7dd9","direct-measure"
"af6bf65f-57d8-4fdc-a23e-acc9f7993680",NULL,"41cd81e4-7dc2-44c4-b9a0-f26ed9927d2a",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:58:48.613","2024-10-23 18:58:48.618","336293",100,"{""ch4_amount"": 1, ""co2_amount"": 336000, ""n2o_amount"": 1, ""landfill-id"": ""Usina Verde"", ""landfill-address"": ""Rio"", ""direct-measure-solid-waste-inboundary-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File""}","41cd81e4-7dc2-44c4-b9a0-f26ed9927d2a",NULL,NULL,"336293","d4fc29ec-a073-34fb-abdb-3c27066451f3","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:58:48.61","2024-10-23 18:58:48.617",NULL,100,"III.1.1","d5acb72e-d915-310f-b3a3-77f634bcbf5e","","","172d10c0-6b80-3173-902e-eca5c0af84c8","direct-measure"
"bab80853-719e-4eb7-b87f-6d26ffc2446e",NULL,"957af6b6-6c4c-4b99-88c6-35a3da74f60d",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:45:17.162","2024-10-23 18:45:17.168","3125293",100,"{""ch4_amount"": 1, ""co2_amount"": 3125000, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""railways-fuel-type"": ""fuel-type-diesel"", ""railways-vehicle-type"": [""vehicle-type-passenger-trains"", ""vehicle-type-freight-trains""]}","957af6b6-6c4c-4b99-88c6-35a3da74f60d",NULL,NULL,"3125293","fc7d08ad-184e-3ecf-a5b6-17039d74915f","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:45:17.158","2024-10-23 18:45:17.165",NULL,100,"II.2.1","73eb7b71-159c-3eda-b7fc-f6eb53754dc3","","","8cf35b86-9ed2-36bd-b04d-eddc47db6676","direct-measure"
"c6838fd6-2fbd-4485-bb22-98e2d5d1ef88",NULL,"40f5f865-a065-473a-8a65-3010098a0633",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 19:15:16.149","2024-10-23 19:15:16.153","365646",100,"{""ch4_amount"": 1, ""co2_amount"": 365353, ""n2o_amount"": 1, ""direct-measure-wastewater-inside-source-type"": ""source-type-domestic-wastewater""}","40f5f865-a065-473a-8a65-3010098a0633",NULL,NULL,"365646","e0ba4eda-8fc4-33e6-beaf-6fc7c8f39e8b","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 19:15:16.146","2024-10-23 19:15:16.151",NULL,100,"III.4.1","d5acb72e-d915-310f-b3a3-77f634bcbf5e","","","c465e7a2-1634-337f-819a-2dfbe147927e","direct-measure"
