"methodology_id","methodology_name","methodology_url","datasource_id"
"8903456d-2535-4d02-9d74-525217e298af",fuel-combustion-residential-buildings-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
bb439240-40c6-454e-b615-710561d13a19,fuel-combustion-commercial-buildings-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
"86010b25-82f8-4b0a-b289-8e770105902f",fuel-combustion-manufacturing-and-construction-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
c9d07835-c324-4531-82df-96dee6d8fd2d,fuel-combustion-energy-industries-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
a80cdded-5cf1-45b9-833c-c1fd4d97a5cb,fuel-combustion-agriculture-forestry-fishing-activities-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
cb02c96d-885b-41d9-8e9e-f1c1f80da636,fuel-combustion-non-specific-sources-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
a1d3f8df-a0dd-4e7d-8f4f-45bfa4787f36,fuel-sales-on-road-transport-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
a4b789c8-6528-45d6-86bf-fc6d182abce7,fuel-sales-railways-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
"31f31521-da7c-4a72-96f7-b3fcdbcc87d2",fuel-sales-waterborne-navigation-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
"0e8d2d0c-35c5-4ad6-8e9a-fe8b8c8486e3",fuel-sales-aviation-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
"43114cae-836f-4a7d-90cc-d16ca7ee136d",fuel-sales-off-road-transport-methodology,,"6a508faa-80a8-3246-9941-90d8cc8dec85"
