"action_id","subsector_number","gpc_reference_number","impact_type","impact_relationship","impact_text","impact_numeric","methodology"
c40_0010,I.1,"{'I.1.1','I.1.2'}",emissions,positive,very low,1,expert review
c40_0010,I.1,"{'I.1.1','I.1.2'}",air_quality,positive,low,1,expert review
c40_0010,I.1,"{'I.1.1','I.1.2'}",housing,negative,low,-1,expert review
c40_0012,I.2,"{'I.2.1','I.2.2'}",air_quality,positive,low,1,expert review
c40_0012,I.2,"{'I.2.1','I.2.2'}",emissions,positive,very low,1,expert review
c40_0012,I.2,"{'I.2.1','I.2.2'}",housing,negative,low,-1,expert review
c40_0013,I.3,"{'I.3.1','I.3.2'}",emissions,positive,very low,1,expert review
c40_0013,I.3,"{'I.3.1','I.3.2'}",housing,negative,low,-1,expert review
c40_0013,I.3,"{'I.3.1','I.3.2'}",air_quality,positive,low,1,expert review
c40_0015,I.1,"{'I.1.1','I.1.2'}",emissions,positive,very low,1,expert review
c40_0015,I.1,"{'I.1.1','I.1.2'}",air_quality,positive,low,1,expert review
c40_0015,I.1,"{'I.1.1','I.1.2'}",housing,negative,low,-1,expert review
c40_0016,I.2,"{'I.2.1','I.2.2'}",emissions,positive,very low,1,expert review
c40_0016,I.2,"{'I.2.1','I.2.2'}",housing,negative,low,-1,expert review
c40_0016,I.2,"{'I.2.1','I.2.2'}",air_quality,positive,low,1,expert review
c40_0017,I.2,"{'I.2.1','I.2.2'}",housing,negative,low,-1,expert review
c40_0017,I.2,"{'I.2.1','I.2.2'}",air_quality,positive,low,1,expert review
c40_0017,I.2,"{'I.2.1','I.2.2'}",emissions,positive,very low,1,expert review
c40_0018,I.3,"{'I.3.1','I.3.2'}",emissions,positive,very low,1,expert review
c40_0018,I.3,"{'I.3.1','I.3.2'}",air_quality,positive,low,1,expert review
c40_0018,I.3,"{'I.3.1','I.3.2'}",housing,negative,low,-1,expert review
c40_0023,II.1,{'II.1.1'},emissions,positive,low,2,expert review
c40_0023,II.1,{'II.1.1'},air_quality,positive,low,1,expert review
c40_0025,II.1,{'II.1.1'},emissions,positive,very low,1,expert review
c40_0025,II.1,{'II.1.1'},air_quality,positive,low,1,expert review
c40_0029,II.1,{'II.1.1'},air_quality,positive,low,1,expert review
c40_0029,II.1,{'II.1.1'},habitat,positive,low,1,expert review
c40_0029,II.1,{'II.1.1'},emissions,positive,medium,3,expert review
c40_0029,II.1,{'II.1.1'},stakeholder_engagement,positive,low,1,expert review
c40_0034,III.1,{'III.1.1'},emissions,positive,very low,1,expert review
c40_0034,III.1,{'III.1.1'},water_quality,positive,low,1,expert review
c40_0035,III.1,{'III.1.1'},water_quality,positive,low,1,expert review
c40_0035,III.1,{'III.1.1'},emissions,positive,very low,1,expert review
c40_0035,III.1,{'III.1.1'},stakeholder_engagement,positive,low,1,expert review
c40_0035,III.1,{'III.1.1'},habitat,positive,low,1,expert review
c40_0035,III.1,{'III.1.1'},cost_of_living,positive,low,1,expert review
c40_0036,III.1,{'III.1.1'},emissions,positive,very low,1,expert review
c40_0036,III.1,{'III.1.1'},air_quality,positive,low,1,expert review
c40_0036,III.1,{'III.1.1'},water_quality,positive,low,1,expert review
c40_0037,III.1,{'III.1.1'},emissions,positive,very low,1,expert review
c40_0040,III.1,{'III.1.1'},emissions,positive,very low,1,expert review
c40_0042,V.2,{'V.2'},habitat,positive,low,1,expert review
c40_0042,V.2,{'V.2'},water_quality,positive,low,1,expert review
c40_0042,V.2,{'V.2'},emissions,positive,low,2,expert review
c40_0042,V.2,{'V.2'},air_quality,positive,low,1,expert review
c40_0071,I.6,{'I.1.1'},emissions,positive,very low,1,expert review
icare_0001,IV.1,{'IV.1'},air_quality,positive,high,2,expert review
icare_0001,IV.1,{'IV.1'},emissions,positive,low,2,expert review
icare_0001,IV.1,{'IV.1'},water_quality,positive,low,1,expert review
icare_0001,IV.1,{'IV.1'},stakeholder_engagement,positive,high,2,expert review
icare_0001,IV.1,{'IV.1'},cost_of_living,positive,low,1,expert review
icare_0001,IV.1,{'IV.1'},habitat,positive,low,1,expert review
icare_0002,I.1,"{'I.1.1','I.1.2'}",emissions,positive,low,2,expert review
icare_0002,I.1,"{'I.1.1','I.1.2'}",stakeholder_engagement,positive,high,2,expert review
icare_0006,I.4,{'I.4.4'},housing,positive,low,1,expert review
icare_0006,I.4,{'I.4.4'},emissions,positive,very low,1,expert review
icare_0006,I.4,{'I.4.4'},water_quality,positive,low,1,expert review
icare_0006,I.4,{'I.4.4'},air_quality,positive,high,2,expert review
icare_0006,I.4,{'I.4.4'},stakeholder_engagement,positive,low,1,expert review
icare_0006,I.4,{'I.4.4'},cost_of_living,positive,low,1,expert review
icare_0008,I.4,"{'I.4.1','I.4.2'}",stakeholder_engagement,positive,low,1,expert review
icare_0008,I.4,"{'I.4.1','I.4.2'}",emissions,positive,very low,1,expert review
icare_0008,I.4,"{'I.4.1','I.4.2'}",air_quality,positive,high,2,expert review
icare_0008,I.4,"{'I.4.1','I.4.2'}",cost_of_living,positive,low,1,expert review
icare_0009,I.3,"{'I.3.1','I.3.2'}",emissions,positive,very low,1,expert review
icare_0009,I.3,"{'I.3.1','I.3.2'}",air_quality,negative,low,-1,expert review
icare_0010,I.1,"{'I.1.1','I.1.2'}",emissions,positive,very low,1,expert review
icare_0010,I.1,"{'I.1.1','I.1.2'}",air_quality,positive,high,2,expert review
icare_0010,I.1,"{'I.1.1','I.1.2'}",housing,positive,high,2,expert review
icare_0010,I.1,"{'I.1.1','I.1.2'}",stakeholder_engagement,positive,low,1,expert review
icare_0010,I.1,"{'I.1.1','I.1.2'}",cost_of_living,positive,high,2,expert review
icare_0012,I.4,{'I.4.4'},emissions,positive,very low,1,expert review
icare_0012,I.4,{'I.4.4'},stakeholder_engagement,positive,low,1,expert review
icare_0012,I.4,{'I.4.4'},cost_of_living,positive,low,1,expert review
icare_0015,I.4,{'I.4.4'},emissions,positive,high,4,expert review
icare_0015,I.4,{'I.4.4'},habitat,negative,low,-1,expert review
icare_0015,I.4,{'I.4.4'},water_quality,negative,low,-1,expert review
icare_0015,I.4,{'I.4.4'},stakeholder_engagement,positive,low,1,expert review
icare_0016,I.1,"{'I.1.1','I.1.2','I.2.1','I.2.2'}",emissions,positive,low,2,expert review
icare_0016,I.1,"{'I.1.1','I.1.2','I.2.1','I.2.2'}",stakeholder_engagement,positive,low,1,expert review
icare_0016,I.1,"{'I.1.1','I.1.2','I.2.1','I.2.2'}",cost_of_living,positive,low,1,expert review
icare_0023,I.4,"{'I.4.1','I.4.2'}",emissions,positive,high,4,expert review
icare_0024,I.4,{'I.4.4'},water_quality,positive,high,2,expert review
icare_0024,I.4,{'I.4.4'},cost_of_living,positive,low,1,expert review
icare_0024,I.4,{'I.4.4'},air_quality,positive,high,2,expert review
icare_0024,I.4,{'I.4.4'},habitat,positive,high,2,expert review
