datasource_id,emissions_factor_id
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,96258429-227f-47b9-8d72-83995427795a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d8b1a895-2397-4f52-8e23-7532dee5e35f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b16b7f55-8a15-4c1c-a6e3-b79047b64628
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,83ac19db-b89f-439e-881c-d859e7648aff
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,0b2757c1-fba9-45a6-945d-1ed79609a0bc
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d6c932fb-6ddf-42dc-bdc6-9a36799eba01
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,da98c21b-3b48-46e6-a637-95842e91b451
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,20fa444b-da28-4de1-822b-27e3f0379668
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,44e556f3-2f43-4fd3-96eb-f2c1bdebe4f0
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e37f1cdb-ed9f-4759-befc-dae7e423a7b8
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,832bc57f-45b9-40e8-8dd8-9c79d6bd9098
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,50f3641c-210a-4c07-ace4-b00147211258
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9ee7389e-7216-4a02-b5b5-fe77a80fb2d9
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e337a3a7-e093-46c0-9cfa-7216b9420862
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,acb33f6f-fe00-4ff6-8716-b2fc962acdc3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,1af793e0-e12d-459e-b92f-166ca3de686e
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d06532e7-89d0-484f-b370-46efebfcd448
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,43f9d8ce-b9e0-4235-823d-6fcc2e031298
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e884f49b-eb15-4192-a87e-324e8dcdde93
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,080f43cf-5e65-4ebe-90e9-d2a3bf7c36c3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,8ba0918e-6d2b-4bfc-a26a-ad32a3ed65a3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d2c06214-b7d1-4a6e-902a-0de340544f4e
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,34db1e77-cd7f-456d-9df5-b6feeb4f4079
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,78346ae4-21be-4e79-bb74-e762e5c02ec1
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e24c500a-64a8-4071-a1f5-94b3550c3098
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,87572e96-2cd7-49b7-a392-968b0c930b6b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,46898bf9-85ff-4690-9433-988d2f6c23a7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,63b1f737-a764-489d-9803-55f40bcbf11b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,faf552df-a2f0-4ac3-87d1-b6a5b8ecf444
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,4b775350-1c8d-467f-9ddc-55fb064d295a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,89855dce-bae4-45e1-9dc6-c81f1738a5e7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,19961e37-36c8-4974-8ed2-baee1ba84a4c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e3b190e4-84e0-4c27-9e7a-168ec0556263
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,53e660c1-ead7-4d6d-bf4a-5939107e9293
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,71760089-f11e-4ee6-b739-81797d3e0d53
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f536aec5-a0f3-409b-887f-e91d09c350b3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,60ab5cd2-8567-42a9-9de9-98d7c2d7a601
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b519b6ed-f35d-46f8-ab04-2060b994d7ae
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,cbdb5f8d-5dc0-4115-9df3-86955f30d632
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,08b82dc0-515b-49a6-9ecd-1dd5b9e654d4
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,75312073-a60b-4246-a672-884890c7c3e1
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,972ae845-ef75-4772-90d9-a6f4d0f00f3d
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,ba943a32-07ca-499c-bc6d-41cdae55213b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,40eeb17d-a0c3-46ff-9e46-bdc161335f02
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,ab1962ba-7a5c-47f6-98c7-c98f74359398
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,54ee9b00-0106-4f93-9765-6bbbcf77d861
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f89b254c-311f-46fd-8032-0faa4ac47997
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,4991b7b3-9fac-456f-9256-3558a7af5dab
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,975c880d-6e94-4e87-9df8-2e3539dbd039
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3bc9b936-deca-418f-a1b0-d7a6e0c30cdc
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,429d9e6a-d470-450f-9a94-10450d91182d
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,10cd8507-f8bb-41a9-b846-b37d6beeea85
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d3c6b9ba-31a7-43fb-988d-f3a0d14601dc
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,94867cfb-6977-4380-81ed-c697003e5542
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,ef386852-d9e1-402b-9d56-4aa224a012a9
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,2265a34d-491d-431d-a4d8-f71d6f614b1d
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,653cc79a-956b-4288-9da8-7e3c8bb78c57
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,26f90e13-f247-4f1d-9c67-b569a31f824a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e106d45d-7ad5-4847-92de-d0de28000f01
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d2e18387-8501-45b6-addf-49c662d825ab
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e779980f-4575-4ce6-8b99-1e8c9e433023
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9d9aff20-f079-4769-b20a-a72969dd9626
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f4c025b7-d25f-49cc-8a55-9506c54f3729
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,18391844-dcf4-4b39-80c7-ff8e52288ba7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,5d22ccf4-79e1-4d06-b384-6d4adaad5ec7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,394efa87-58eb-445b-85ba-91119daa9231
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3f4d76ec-296a-4859-aa3b-966c6fd33afa
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,89ae018c-3ae9-4fd6-acb6-27ced176fbb3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,8b46ce66-45d4-4a8f-b435-af72fb7478a7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,ecc211c7-1241-48f7-9050-4953051d520b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d9b45412-0ec3-44d8-bfec-cecc800f4030
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,0c98fb7d-e331-4bfe-85fc-19a2f60bd7ea
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,041f60bd-08cc-48aa-9bf4-ef6c776b63d1
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b73000c9-b938-436f-8c74-8cba768f9349
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,c7714b8a-2f9b-4da5-9dbe-8ff50fce06e3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,8d57ef50-a0c5-474c-a9c2-7152bb4b4995
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d40cb5b1-87af-4caa-b566-d34bbf19e27b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,35721551-80a2-4688-9534-67d37d93028c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b131fa27-112e-4f77-acd4-6398377fe207
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,7d917011-cd3a-4fef-820a-50c006abc5d0
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,77b05377-4da5-4aff-998d-d1afe43246a2
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,1e5f85ed-8d9e-4999-871d-fb0e940f7d8a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,7b1ce243-7b23-435a-9f58-9cc4e8f93c2a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,1274ade3-4e4d-4b70-bf6a-1795dde603e6
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,850a4800-0c33-4186-ab27-7e1833ddd973
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e3e50fcf-37de-4647-8230-f02434256ab9
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,69147edf-8433-405a-b4b5-2752f65cb3e0
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9691199a-d677-45e8-b686-633dcaa0b8ad
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f262dcfc-8a65-4f82-a318-0dfbbee07f55
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,42345642-ca43-4ff6-9551-bad2c18ba2e9
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,5bac91e3-fc90-46ba-8861-053cf23b8d01
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,71eb5ef0-16c8-456a-84a1-84caa401d13b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a89b1ee7-d070-4dfc-9528-99eec5a7df01
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,59da4f7c-864e-4b81-bf96-857938010261
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,348ebdcc-42fb-4dad-86f3-c01ffbeaf30f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,4f2c0ee0-ffb3-48cf-b5e5-f54d7cd9ce3c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,6283bf06-37f4-4909-b7ef-81e55900e235
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,5a699035-65f5-4c7b-8d22-1548506d3116
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d0605b6a-99ea-4d42-8fa7-441ee21199bc
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,0685d7c8-1384-4bdf-b5ac-c69559d723e1
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,c8e34a50-7e55-42ce-b847-3cfb2991b8ee
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b7501e5b-4ffc-4334-aec1-b32c67272522
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e70c7a6a-8a11-4e3f-a04c-cc8b143088ee
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,424fe127-7c9b-4353-ac76-145a9d23397c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,48c20c01-6690-4360-b3b9-9d6758e3247c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f7350c0f-1c80-4f8b-9284-12a665a041d3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,19534c20-e96b-4095-bf30-5cf34045bd24
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,2b302f5b-6a91-461f-b4ed-0a89891c82f1
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,c7f0ad51-4d1b-4534-995a-996365ffbaff
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b3aa8dce-fe49-43de-bc53-6d6781268f60
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,bb168e5c-998c-47a2-9080-300a7e3bf59e
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,2aa837ea-482c-4369-ac42-fe17b5cdb1a4
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b598d0a1-a9e4-459d-8508-7743a35afc77
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,67928f4e-486a-4846-8881-719a120d9fd8
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,4f1a781f-c290-4094-afc4-f79f6f0906a0
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b19fc075-6622-4352-b672-afb14dd58990
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,594e0fe3-4ba0-401a-a49e-8234377d3181
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d768c648-10ab-44c9-8fc3-d00c13993492
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,5c4e1780-fab0-485a-9230-cadde4945968
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3032edb5-40c7-44f8-bba3-fd3d0f487d13
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,dd64cbc2-5416-42e1-90c4-272a240332ed
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,16a1b392-746a-457a-8dd9-55f7a45b6c6f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,6f4893f7-0779-4c7b-9c41-2cf214d8d10c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,03605d6c-4d8b-4aec-a00a-0486f82afffe
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,77edd0ba-794c-48d7-8777-ab4c906e6afa
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,8c10485d-a15a-436c-b0d7-d66cdd31d95a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3728719d-21a8-4aa4-ab0c-03968877d7b7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,4b42f95d-a9fc-4a66-a8a2-b586476f0f03
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,85e4ae78-bccd-4802-a1e8-5e0dc2591e57
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,04cc6ae7-1781-4e0b-aef0-fb8d3f78a4f2
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,951c70bd-99a1-477c-b9b3-833a658a223a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,cd4f1dd9-9e6b-423a-9ac7-3380b3b5800a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,69ac0473-d9a6-4d19-ab40-0ad55398b9c8
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f4f4e703-9b3c-44dd-89cc-7b1f7d4e1610
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b59bd913-bcad-4bd6-a886-550bad166254
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,38605fd4-714f-48c8-ad65-4fe61eba562f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,5415e41a-4fe6-4b6f-a1ff-d2937bf04a08
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,1e3351ff-0b42-4f49-b017-c302ea0a79c8
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a93017ff-e51c-4396-832f-30b014ac2cb5
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,207627ae-1d01-43c0-9970-240bdc5dc0f4
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,85d80e53-4f22-4390-9731-99f97d604ba6
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,83f820bc-2571-4159-a66f-336e5bf24b36
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,ef1390cc-4748-4bfc-a7d8-50825800553f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,62b91600-5025-4194-84a2-cd287d60b175
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,c3b1513d-4b3b-45e3-9434-ce6b2d15d4b6
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,66627335-6923-4520-a198-70d51233deb3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,42fa0a32-43f5-4320-9a8c-250a664f561b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,15335491-4523-4d0e-9d11-fad1cbdf1116
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,dc299d4a-cbcc-4376-bfd4-6dbba64c418b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f1a9fb08-2776-4066-9cce-b79b69f9e255
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,2d64f9f3-422b-4b25-aaab-032af54bb08a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a10249ae-3859-477a-9b55-b152bf2c173a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,b6643032-fdf9-49b6-ab7f-758af1edf30a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3c502c89-f5bd-44ad-ad88-e6da8a5b9a39
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f4898b81-705b-4b3a-9743-a1b49fa5918f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,6502ae3d-1e50-4130-95b9-dee66a091d90
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,dfaa5693-0c18-48f6-ac60-22350d0b6cd7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,2b454c98-8c2a-4d37-846b-ba5ac22d70f5
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,e47c71a7-8a2c-4943-bf5f-0959e51256cc
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,754a8c79-f04b-4a6a-8d7f-b8318da26a16
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a1c55186-f54c-4663-81e3-4de296f50a53
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3b700194-58b6-4bf8-a385-d63038ab8cc0
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3aed4ffc-5764-4305-8a13-83350a25caca
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9fb4d757-783e-4a48-ba1d-013d292a67c8
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,007840c6-b52a-4bb8-b3f0-3a861674b552
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,fb92fbdf-1351-4e32-92b4-1c097c8753f1
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,1108ded3-9ca2-4996-9053-1c52b45bb46b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,7e147bbf-e568-4c9a-bf2f-5021dbdc3b41
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,19a8181b-ef9f-45bd-bcd6-6cd482e458b3
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,4fbaccd1-5776-4866-8216-5113b072f5c0
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d0c5d816-c184-4963-af37-bc2adf29a4e5
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a27cc8e1-3edc-4b80-a0ae-def8bd8846df
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,be6d0e00-91d0-4699-842b-3744361b6b3b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,19ea65b7-fb8c-4f4b-a3c4-902c39ca4a00
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,cc251aca-2264-40d6-8d56-ebdd37f52320
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,37a88187-c877-4621-994e-98bf7fcffbe7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,57f0a035-118b-45e8-8a28-bed1650ef842
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,708119c5-642d-47c2-ae8a-730bb4e4bfdf
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,3e8b4949-b45c-42cd-b38e-1e531ef43c74
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,66c89e6b-d76a-4fcb-8c7b-003078ac0cd6
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9ef4dcbb-af70-4664-83b1-b90fe73417e7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9980c148-3203-43e9-b6cf-eaf61245d8f7
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,049d8070-6522-4bfc-b5fb-e93a19dbbfe6
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,68e98154-da39-4cbd-b184-4a44f73f2529
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,065dab72-746a-4826-afd9-bf10b976161b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,434316e1-ae79-4050-9aae-c434332772f8
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a9351ec6-97ea-4d70-a7ed-4bbc65e8ef7c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a25de582-ab8e-42f9-8e9c-2950463c94f4
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9b36e1a5-ce22-4c4f-98d3-e59233e18808
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,41541518-3054-4158-8679-ed027b82f019
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,c998179f-be67-4b84-b03b-2f0c9d8868dc
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,7c4ca8c8-c307-4839-bd0f-5e2d204bda39
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,baf78325-fd0e-45ba-8058-c175e39ac2cf
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,16408eec-8244-41d2-93ac-ade3d4c00785
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,11ec19f3-678f-40a4-a783-ae0b85f19b86
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a7b259e7-dd1f-4483-8280-fdc0de0ab34a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,d49dc950-34b1-41c0-b19f-4c0560dc3f8a
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f53c191b-5209-49e9-b9d3-79bb91057995
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,95409448-4bdf-4d3e-be7f-0a2d34a1487f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,efe28296-4612-4ee6-81fa-64f7de5d0fcb
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,09b69009-d7b5-4734-a1ae-ac4f29999170
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,190aa06e-44af-4e6e-b566-991df3d46022
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a400cca8-4a7a-484f-be42-0925bc7a21fe
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,a146001e-1077-49ba-bb9d-20310f99aca0
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,5394df8b-c154-46ac-9909-d0151f206b71
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,012b0585-21d4-48d7-a924-6d92274e5cf8
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,fad6039b-b573-4951-933a-69bcbe236919
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,c3b186d2-68b8-4057-bb0a-d627e92b2c7c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f3ec7d25-cb8c-4021-9874-843814432096
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,51b6340b-15c1-40b6-b6dd-5ad19988ab41
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,08bbd823-d67e-4f85-8d39-7565fdd4a1f6
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,f20cc04c-7d3b-4c4e-a2a1-23a997d22b0c
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,7d9071be-e31c-40d9-ae21-b2455ead7041
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,cca2c4df-9760-4b7e-8db2-085a6d603a04
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,94fee430-7eee-4fb5-b014-adc1a5acc85f
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,9af07d92-3271-427b-a046-816bc49b6ff9
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,c0b238e3-5c65-47d3-bd9f-1b02f866d68b
7be963c9-53d7-3d95-a590-ad2bf5dac4d2,be57e78b-486c-4306-9ea0-29aa1abbb368
