id,actor_id,year,sector,gpc_refno,gas,emissions_quantity,units
2d488304-8d0c-39d0-8874-3f2907734b73,AT INN,2019,Industry,IV.1,co2,54715233,kg
34a577e4-eb84-32ae-908a-54ab950cb31a,AT INN,2020,Residential,I.1.1,co2,40512229,kg
12e639a0-5a2f-360e-8f9d-0e5c0140902c,AT INN,2020,Power,I.4.1,co2,1786896,kg
55aae455-6b96-3823-88c6-c0b506c560f9,AT INN,2020,Ground Transport,II.1.1,co2,22433940,kg
addde740-fbc7-319d-8499-9c7e84accaf5,AT INN,2020,Industry,IV.1,co2,51613121,kg
4bd15f6f-e951-3f51-be53-46715e41a9fb,AT INN,2021,Residential,I.1.1,co2,43006633,kg
2cddbd3b-0e5f-37e4-a3b9-60ea91fddf8d,AT INN,2021,Power,I.4.1,co2,1838394,kg
f9b55a3e-609c-3196-9388-f542c521b7f0,AT INN,2021,Ground Transport,II.1.1,co2,23042232,kg
3d2b7fee-a827-3360-b928-1abb06ca638f,AT INN,2021,Aviation,II.4.1,co2,2030481,kg
8613330e-01eb-344b-90e9-9207700276fa,AT INN,2021,Industry,IV.1,co2,56458168,kg
7bce5def-092d-3595-b723-839a0a5340e0,AT KLU,2019,Residential,I.1.1,co2,78221865,kg
6ea4cfa5-c19d-3ee0-a8ee-782e6300a809,AT KLU,2019,Power,I.4.1,co2,60904388,kg
37cd43e1-262a-3423-a548-f89c8e2bbdbc,AT KLU,2019,Ground Transport,II.1.1,co2,195732627,kg
40858d43-702f-3ab9-b1f7-ffaccb9a2da5,AT KLU,2019,Aviation,II.4.1,co2,28874131,kg
15600539-93ad-3686-b3cd-cc97bf77fa70,AT KLU,2019,Industry,IV.1,co2,110805337,kg
02f0c037-a383-350e-b684-ad1c9edb94d2,AT KLU,2020,Residential,I.1.1,co2,77350132,kg
95312ff1-4eb6-345f-8d05-5dd8c68d9a44,AT KLU,2020,Power,I.4.1,co2,54360976,kg
3a7860ca-15c7-3f85-b097-43a336d67052,AT KLU,2020,Ground Transport,II.1.1,co2,190422726,kg
dd6e9b98-9fb7-3aab-828e-c58343067736,AT KLU,2020,Aviation,II.4.1,co2,12734997,kg
38eb8e6d-2612-3a03-a143-b888fd0bcc41,AT KLU,2020,Industry,IV.1,co2,105716817,kg
289e27ee-f3f7-35da-87bb-c2cb79e176a5,AT KLU,2021,Residential,I.1.1,co2,84654859,kg
e6aeda20-54ed-3682-958a-b4f982a4e80b,AT KLU,2021,Power,I.4.1,co2,55713784,kg
bc0bea17-33b9-3765-9531-377a56436247,AT KLU,2021,Ground Transport,II.1.1,co2,195589664,kg
9e67a2bd-15d5-3a1f-a1d1-8ccbea86b5a1,AT KLU,2021,Aviation,II.4.1,co2,15342064,kg
e12b3b80-5218-3f49-beca-c05f6e2ed5d5,AT KLU,2021,Industry,IV.1,co2,114724448,kg
77cd57f0-efc8-37a1-b97f-b80396f148b9,AT LNZ,2019,Residential,I.1.1,co2,80094781,kg
7080cfbc-af23-38ef-a66f-2e6f3c90e4ce,AT LNZ,2019,Power,I.4.1,co2,195841311,kg
00411f46-adb3-3be1-abfc-7b748945cd4c,AT LNZ,2019,Ground Transport,II.1.1,co2,82271513,kg
07e26e4c-6eba-310a-9993-0c9079f939a8,AT LNZ,2019,Aviation,II.4.1,co2,2535644,kg
6a216da2-8b30-3238-be4a-6a7aea718149,AT LNZ,2019,Industry,IV.1,co2,382245115,kg
1cbe2c1a-caba-37c0-a5bf-a052f6cb6678,AT LNZ,2020,Residential,I.1.1,co2,79202179,kg
c5fb8205-fea5-3146-8dad-10d65da0392b,AT LNZ,2020,Power,I.4.1,co2,175478012,kg
058a996b-3a27-3783-8084-a93178a63025,AT LNZ,2020,Ground Transport,II.1.1,co2,80039665,kg
8bb805cc-201d-328b-9a8d-251bdaab40b1,AT LNZ,2020,Aviation,II.4.1,co2,1134642,kg
4b23b640-5698-3286-8b7a-654418e9372d,AT LNZ,2020,Industry,IV.1,co2,364743430,kg
117f2ea7-180c-3311-985d-def9624ef9a0,AT LNZ,2021,Residential,I.1.1,co2,86681803,kg
0ecefebf-913b-3b5a-b741-f08b2bfdd265,AT LNZ,2021,Power,I.4.1,co2,180535251,kg
a1b453d4-d835-37ac-bef9-13c47e69efdb,AT LNZ,2021,Ground Transport,II.1.1,co2,82211399,kg
59d6372c-667f-3b23-9b7a-05a0d310541d,AT LNZ,2021,Aviation,II.4.1,co2,1368898,kg
6d1ae6bb-5235-375f-bd95-dac293d3d569,AT LNZ,2021,Industry,IV.1,co2,395779815,kg
2c6781d8-5b4a-3094-a960-84ef827b8978,AU BDG,2019,Residential,I.1.1,co2,23367878,kg
720a2420-c5df-3233-9993-9dce278d08a4,AU BDG,2019,Power,I.4.1,co2,6679920,kg
ddcb3691-948f-36ba-8fa4-8c71f605a973,AU BDG,2019,Ground Transport,II.1.1,co2,22203848,kg
