subcategory_id,subsector_id,subcategory_name,reference_number,scope_id,reportinglevel_id,created,last_updated
1bcaf3f3-5c94-3dfa-9e58-fa2f1e5e38f9,b69c4ec7-a3c7-37a2-af4f-634d5a06a512,Emissions from fugitive emissions within the city boundary,I.7.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
942f2e36-ab1f-3fbf-af9e-31d997f518c7,a235005c-f223-3c64-a0d2-f55d6f22f32f,Emissions from fuel combustion within the city boundary,I.2.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
94bd54aa-01e7-3a2f-a1c1-a49121d8dcea,a235005c-f223-3c64-a0d2-f55d6f22f32f,Emissions from grid-supplied energy consumed within the city boundary,I.2.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
32db3fd4-66f9-3d29-8cdd-9de719d3cdb7,a235005c-f223-3c64-a0d2-f55d6f22f32f,Emissions from transmission and distribution losses from grid-supplied energy consumption,I.2.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
1483cc0a-dad1-34ed-81ef-5913ee3be6d1,b32f56a1-3a4e-3cd5-9052-e06284468700,Emissions from fugitive emissions within the city boundary,I.8.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
25d0ad43-454f-34c2-ae83-03c095069891,95c049d1-eff9-3b26-af49-2b32982e7dd9,Emissions from grid-supplied energy consumed within the city boundary,I.5.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
c7025070-1f90-3034-b366-6ec4ac178666,95c049d1-eff9-3b26-af49-2b32982e7dd9,Emissions from fuel combustion within the city boundary,I.5.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
0f145a59-f3e3-3739-a970-9686e968e2b2,95c049d1-eff9-3b26-af49-2b32982e7dd9,Emissions from transmission and distribution losses from grid-supplied energy consumption,I.5.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
ac047081-bd46-3fb9-8b6b-426f20fad176,4f342e84-0269-3f04-aceb-1d6cd0a183bc,Emissions from grid-supplied energy consumed in power plant auxiliary operations within the city boundary,I.4.2,81cac15d-01d5-3d51-8bde-0f7a383585ae,3e54a15f-7857-3878-9a60-b2c28e3c60fa,2023-10-10,2023-10-10
7f927890-ddf7-3d85-8931-6da122215938,4f342e84-0269-3f04-aceb-1d6cd0a183bc,Emissions from transmission and distribution losses from grid-supplied energy consumption in power plant auxiliary operations,I.4.3,ce09d866-a134-35a8-88b8-e4f08b21af3a,2782d240-65fb-3af2-865d-c408f70a826f,2023-10-10,2023-10-10
