id,source_name,GPC_refno,region_name,region_code,temporal_granularity,year,activity_name,activity_value,activity_units,gas_name,emission_factor_value,emission_factor_units,emissions_value,emissions_units
af16c0fa-acbc-360c-b446-588f98f5e6d4,CAMMESA,I.4.4,BUENOS AIRES,AR-B,annual,2020,natural gas combustion consumption for energy generation from renewable plants,22.345,tonne,CO2,1.94819592,tonne/tonne,43532.4378324,kg
0141aef1-5174-39d8-a98b-17d3a55b1cc4,CAMMESA,I.4.4,BUENOS AIRES,AR-B,annual,2020,mineral coal combustion consumption for energy generation from thermal plants,474987.63099999994,tonne,CO2,2.33525776,tonne/tonne,1109218551.1967666,kg
f96c70a8-a520-3f46-be4e-2ab8663d3e43,CAMMESA,I.4.4,BUENOS AIRES,AR-B,annual,2020,fuel oil combustion consumption for energy generation from thermal plants,512110.41399999976,tonne,CO2,3.17228090666667,tonne/tonne,1624558088.4373636,kg
904ba002-aaec-3276-928a-1f18a8c06025,CAMMESA,I.4.4,BUENOS AIRES,AR-B,annual,2020,natural gas combustion consumption for energy generation from thermal plants,8184855.087999998,tonne,CO2,1.94819592,tonne/tonne,15945701288.232832,kg
d3549de1-9c70-3c9c-b6b9-e259b7ff6756,CAMMESA,I.4.4,BUENOS AIRES,AR-B,annual,2020,gas oil combustion consumption for energy generation from thermal plants,444723.68699999986,tonne,CO2,2.69717055226667,tonne/tonne,1199495632.4718597,kg
a584a88f-833d-3ca4-9c21-bbdc15ce76af,CAMMESA,I.4.4,CATAMARCA,AR-K,annual,2020,gas oil combustion consumption for energy generation from thermal plants,16947.797,tonne,CO2,2.69717055226667,tonne/tonne,45711098.99419343,kg
05b038bc-7fb2-3f70-a95d-224485b65c98,CAMMESA,I.4.4,CHACO,AR-H,annual,2020,gas oil combustion consumption for energy generation from thermal plants,17739.31799999999,tonne,CO2,2.69717055226667,tonne/tonne,47845966.12689407,kg
a7ed0a95-7d35-38ea-b69b-d2ab2d883b46,CAMMESA,I.4.4,CHUBUT,AR-U,annual,2020,natural gas combustion consumption for energy generation from thermal plants,274810.66699999996,tonne,CO2,1.94819592,tonne/tonne,535385020.22187865,kg
e094b677-66ce-3190-9f5c-9f876dd184fa,CAMMESA,I.4.4,CORDOBA,AR-X,annual,2020,natural gas combustion consumption for energy generation from thermal plants,806137.133,tonne,CO2,1.94819592,tonne/tonne,1570513073.471098,kg
f8045081-a96e-3a2e-984a-bfd3650d9bd1,CAMMESA,I.4.4,CORDOBA,AR-X,annual,2020,gas oil combustion consumption for energy generation from thermal plants,67012.03100000002,tonne,CO2,2.69717055226667,tonne/tonne,180742876.6607812,kg
e1f62bb9-af79-3182-aed7-b1ab029bda9a,CAMMESA,I.4.4,CORRIENTES,AR-W,annual,2020,gas oil combustion consumption for energy generation from thermal plants,6151.191,tonne,CO2,2.69717055226667,tonne/tonne,16590811.22656777,kg
7765e28b-b265-3b4d-a994-27348e0110b7,CAMMESA,I.4.4,ENTRE RIOS,AR-E,annual,2020,natural gas combustion consumption for energy generation from thermal plants,1232.869,tonne,CO2,1.94819592,tonne/tonne,2401870.3556944807,kg
a10588fe-731e-304f-9ed7-d0716f3da33a,CAMMESA,I.4.4,ENTRE RIOS,AR-E,annual,2020,gas oil combustion consumption for energy generation from thermal plants,2372.669000000001,tonne,CO2,2.69717055226667,tonne/tonne,6399492.9570760075,kg
bee1caa0-1833-371b-8b26-bb5941c2ac58,CAMMESA,I.4.4,FORMOSA,AR-P,annual,2020,gas oil combustion consumption for energy generation from thermal plants,9416.939000000002,tonne,CO2,2.69717055226667,tonne/tonne,25399090.563291542,kg
