,year,activity_name,activity_value,activity_units,Unnamed: 4
0,2018,soy oil production,7248989,tonnes,
1,2019,soy oil production,8081157,tonnes,
2,2020,soy oil production,7160243,tonnes,
3,2021,soy oil production,8391995,tonnes,
4,2022,soy oil production,7447598,tonnes,
5,2018,sunflower oil production,1304651,tonnes,
6,2019,sunflower oil production,1414513,tonnes,
7,2020,sunflower oil production,1067505,tonnes,
8,2021,sunflower oil production,1339892,tonnes,
9,2022,sunflower oil production,1497628,tonnes,
10,2018,other oil production,123111,tonnes,
11,2019,other oil production,103800,tonnes,
12,2020,other oil production,91339,tonnes,
13,2021,other oil production,83270,tonnes,
14,2022,other oil production,103868,tonnes,
15,2018,Soybean oilseeds,27756884,tonnes,
16,2019,Soybean oilseeds,31025363,tonnes,
17,2020,Soybean oilseeds,27226566,tonnes,
18,2021,Soybean oilseeds,31906192,tonnes,
19,2022,Soybean oilseeds,28775035,tonnes,
20,2018,Sunflower oilseeds,1318251,tonnes,
21,2019,Sunflower oilseeds,1339025,tonnes,
22,2020,Sunflower oilseeds,1017502,tonnes,
23,2021,Sunflower oilseeds,1254145,tonnes,
24,2022,Sunflower oilseeds,1450063,tonnes,
25,2018,Other oilseeds,226329,tonnes,
26,2019,Other oilseeds,200861,tonnes,
27,2020,Other oilseeds,192324,tonnes,
28,2021,Other oilseeds,178718,tonnes,
29,2022,Other oilseeds,220306,tonnes,
30,2018,Wheat flour,4064639,tonnes,
31,2019,Wheat flour,4461959,tonnes,
32,2020,Wheat flour,4511947,tonnes,
33,2021,Wheat flour,4402508,tonnes,
34,2022,Wheat flour,4405860,tonnes,
35,2018,Corn,6150188,heads,
36,2019,Corn,6155186,heads,
37,2020,Corn,6402743,heads,
38,2021,Corn,6912461,heads,
39,2022,Corn,7322096,heads,
40,2018,Barley,920157,heads,
41,2019,Barley,1038853,heads,
42,2020,Barley,1004040,heads,
43,2021,Barley,1119303,heads,
44,2022,Barley,1142650,heads,
45,2018,Rice,1007032,heads,
46,2019,Rice,965761,heads,
47,2020,Rice,998901,heads,
48,2021,Rice,1074437,heads,
49,2022,Rice,1118571,heads,
50,2018,Other cereals,113860,heads,
51,2019,Other cereals,69099,heads,
