Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Cuba,Cuba,CU,384.56,608.68,4.23,4.23,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Cabo Verde,Cabo Verde,CV,468.02,572.60,18.60,18.60,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Cabo Verde,Cabo Verde,CV,400.25,496.34,30.39,30.39,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Cabo Verde,Cabo Verde,CV,391.77,486.77,31.87,31.87,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Curaçao,Curaçao,CW,298.73,482.25,26.42,26.42,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Curaçao,Curaçao,CW,305.79,493.35,24.68,24.68,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Curaçao,Curaçao,CW,306.26,494.10,24.57,24.57,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Cyprus,Cyprus,CY,606.35,820.07,14.55,14.55,Electricity Maps Estimation; tsoc.org.cy,FALSE,
2023-01-01 00:00:00,Cyprus,Cyprus,CY,509.85,711.26,20.47,20.47,Electricity Maps Estimation; tsoc.org.cy,FALSE,
2021-01-01 00:00:00,Czechia,Czechia,CZ,528.22,555.54,46.10,12.74,ceps.cz,FALSE,
2022-01-01 00:00:00,Czechia,Czechia,CZ,554.31,578.54,45.98,13.10,ceps.cz,FALSE,
2023-01-01 00:00:00,Czechia,Czechia,CZ,482.84,524.82,52.30,15.74,ceps.cz,FALSE,
2024-01-01 00:00:00,Czechia,Czechia,CZ,439.39,480.56,56.02,19.82,ceps.cz,FALSE,
2021-01-01 00:00:00,Germany,Germany,DE,373.67,439.21,58.49,44.55,entsoe.eu,FALSE,
2022-01-01 00:00:00,Germany,Germany,DE,409.53,476.20,56.89,49.51,entsoe.eu,FALSE,
2023-01-01 00:00:00,Germany,Germany,DE,311.55,370.43,62.69,58.38,entsoe.eu; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Germany,Germany,DE,276.59,333.78,65.52,61.10,entsoe.eu; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Denmark,Denmark,DK,74.83,123.73,87.08,80.07,entsoe.eu,FALSE,
2021-01-01 00:00:00,Algeria,Algeria,DZ,367.27,487.13,0.77,0.77,Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Algeria,Algeria,DZ,367.25,487.13,0.78,0.78,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Algeria,Algeria,DZ,367.43,487.30,0.73,0.73,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Algeria,Algeria,DZ,367.45,487.33,0.72,0.72,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Spain,Ceuta,ES-CE,405.93,649.67,0.00,0.00,demanda.ree.es; Electricity Maps Estimation,FALSE,
2023-01-01 00:00:00,Spain,Ceuta,ES-CE,405.96,649.82,0.00,0.00,demanda.ree.es,FALSE,
2024-01-01 00:00:00,Spain,Ceuta,ES-CE,405.82,649.21,0.00,0.00,demanda.ree.es,FALSE,
2021-01-01 00:00:00,France,Corsica,FR-COR,276.86,351.05,44.39,43.86,Electricity Maps Estimation; opendata.edf.fr,FALSE,
2022-01-01 00:00:00,France,Corsica,FR-COR,379.85,483.38,34.93,34.52,opendata.edf.fr; Electricity Maps Estimation; edf.fr; opendata-corse.edf.fr,FALSE,
2023-01-01 00:00:00,France,Corsica,FR-COR,336.33,439.51,47.60,46.79,edf.fr; opendata-corse.edf.fr; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,France,Corsica,FR-COR,381.50,491.97,41.59,41.27,Electricity Maps Estimation; opendata-corse.edf.fr,FALSE,
2021-01-01 00:00:00,Croatia,Croatia,HR,262.59,300.79,63.45,54.90,Electricity Maps Estimation; entsoe.eu,FALSE,
2022-01-01 00:00:00,Croatia,Croatia,HR,296.40,342.68,58.01,47.39,entsoe.eu; Electricity Maps Estimation,FALSE,
2023-01-01 00:00:00,Croatia,Croatia,HR,232.15,271.34,65.87,58.94,entsoe.eu; Electricity Maps Estimation,FALSE,
