Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,440.41,483.40,43.17,42.20,entsoe.eu; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,442.69,482.99,42.14,39.72,Electricity Maps Estimation; entsoe.eu,FALSE,
2021-01-01 00:00:00,Barbados,Barbados,BB,527.74,646.60,7.55,7.55,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Barbados,Barbados,BB,527.93,646.91,7.39,7.39,Electricity Maps Estimation; EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Barbados,Barbados,BB,522.37,640.69,8.18,8.18,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Barbados,Barbados,BB,520.05,638.06,8.56,8.56,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Bangladesh,Bangladesh,BD,414.01,557.64,1.49,1.49,Electricity Maps Estimation; erp.pgcb.gov.bd,FALSE,
2022-01-01 00:00:00,Bangladesh,Bangladesh,BD,427.72,578.05,1.74,1.74,Electricity Maps Estimation; erp.pgcb.gov.bd,FALSE,
2023-01-01 00:00:00,Bangladesh,Bangladesh,BD,480.91,602.09,2.64,2.61,Electricity Maps Estimation; erp.pgcb.gov.bd,FALSE,
2024-01-01 00:00:00,Bangladesh,Bangladesh,BD,512.41,620.86,3.33,3.26,Electricity Maps Estimation; erp.pgcb.gov.bd,FALSE,
2021-01-01 00:00:00,Belgium,Belgium,BE,128.65,177.23,72.34,23.21,entsoe.eu,FALSE,
2022-01-01 00:00:00,Belgium,Belgium,BE,142.82,196.42,69.21,27.21,Electricity Maps Estimation; entsoe.eu,FALSE,
2023-01-01 00:00:00,Belgium,Belgium,BE,128.76,177.62,72.52,33.79,entsoe.eu; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Belgium,Belgium,BE,109.97,153.19,76.89,35.29,entsoe.eu; Electricity Maps Estimation,FALSE,
2021-01-01 00:00:00,Burkina Faso,Burkina Faso,BF,339.71,559.36,16.33,16.33,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Burkina Faso,Burkina Faso,BF,352.54,578.75,13.17,13.17,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Burkina Faso,Burkina Faso,BF,350.20,575.77,13.74,13.74,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Burkina Faso,Burkina Faso,BF,350.66,576.59,13.63,13.63,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Bulgaria,Bulgaria,BG,448.43,468.87,52.24,18.05,eso.bg; Electricity Maps Estimation,FALSE,
2022-01-01 00:00:00,Bulgaria,Bulgaria,BG,519.21,538.05,47.22,14.83,eso.bg; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Bulgaria,Bulgaria,BG,314.19,350.13,64.62,27.13,Electricity Maps Estimation; eso.bg,FALSE,
2021-01-01 00:00:00,Bahrain,Bahrain,BH,369.38,489.26,0.17,0.17,IRENA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Bahrain,Bahrain,BH,368.63,488.35,0.37,0.37,Electricity Maps Estimation; IRENA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Bahrain,Bahrain,BH,368.39,488.06,0.44,0.44,IRENA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Bahrain,Bahrain,BH,368.23,487.88,0.48,0.48,IRENA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
