"id","locode"
"d92f831d-2630-313e-9254-8009270a81ae","US SIT"
"2da82b7b-5465-30b1-9488-359bc896e62c","US SIT"
"da3bc076-908b-34e2-a803-8f3f841c4f38","US SIT"
"e74fbf94-48b4-30ab-bb61-a1f886e68f05","US SIT"
"fcace48d-ba71-3c0f-b21c-57e4090b7b76","US SIT"
"0db788d6-60d3-3a11-a3fa-4c15314caeb2","US SIT"
"e92bb013-3fba-3e5b-84d1-f40d418bfc09","US SIT"
"85521fce-1d9d-3233-ab22-f65854a72e80","US SIT"
"271b9b1c-bb1e-3557-a7e5-3e3f2262b43a","US SIT"
"39299671-5dbb-3b62-85d2-eefd2ede3d67","US SIT"
"d58c032d-c153-3d13-8264-7a8eec204cc7","US SIT"
"7a2f885b-19f5-3c1b-b555-287111ce7b32","US SIT"
"599048cb-b4d5-39a0-86c0-eb5c9cf95b15","US SIT"
"f237a051-b886-3e82-87e4-b481fd60c4a5","US SIT"
"9f1354ca-32f3-3284-af82-accc4c41dc81","US SIT"
"80651311-447b-3530-be9d-559aa206025c","US SIT"
"5512d432-d3c2-3527-bd06-1ac28a94d729","US SIT"
"285592df-11ba-32fa-a3fc-1daa89012061","US SIT"
"a5c2c37c-5f24-315b-bfa4-6de17799eb52","US SIT"
"7eb099c0-5204-337e-948c-bf34778bdb59","US SIT"
"1fd51d72-0cbe-30b2-9cb4-c184ce519a3f","US SIT"
"4d5e12be-eb1e-31a2-908f-2c76c5f99123","US SIT"
"ab8f385b-4bab-35c7-9a12-d3684ab8f466","US SIT"
"47d82153-fde5-38ae-960e-3d20a2c3f25e","US SIT"
"cc9288c6-565d-38f9-972b-ff9ae5e14e4e","US SIT"
"4040126e-76fe-3b11-9d2a-686fa2aba1fb","US SIT"
"1eadd949-81df-3d29-af3a-ea76cce26e44","US SIT"
"a688fba9-a14b-3368-8f8c-af827fa5ee36","US SIT"
"d4fe2ab7-7a90-323f-aad3-c7fa1db4d749","US SIT"
"0b9ac3e6-a56e-394d-ace4-a2409b7ce781","US SIT"
"a6788b0d-daf4-36d0-9bf7-a0b6046bd603","US SIT"
"fd8f78bc-b5f6-30cd-b04a-30803914dfbc","US SIT"
"663d14ea-4d08-345c-a2f5-ad7e59e8ca3d","US SIT"
"5018c960-71c5-37ba-9d35-212b19f6de0d","US SIT"
"42ed408c-704a-3439-bc22-009f21e07162","US SIT"
"c868bf1d-93c4-3166-9aef-f0b3bc4f2248","US SIT"
"a0537439-41ab-32ba-8498-604683f01707","US SIT"
"d80d743f-9d2e-3b81-95de-1238b693892d","US SIT"
"ddb73504-6907-318e-a113-6c359099f880","US SIT"
"26acf890-0bb5-30c0-a82f-255481d87b83","US SIT"
"69410351-b486-3bb8-b322-a7d39869d2ed","ES SCN"
"430e9035-e3e2-31f3-b0f3-00f2d4f1e4e7","ES SCN"
"0c5dff4e-3da3-3b2a-898e-ac9a737e9e5c","ES SCN"
"36540a2f-2f63-3d1c-aaa5-d9363fbe8466","ES SCN"
"e2ff47cd-a83e-347d-8e84-4e580c1e35af","ES SCN"
"7b7e33b0-7fcd-3efc-95d5-3013e6154379","ES SCN"
"96f1006d-bad4-3a25-a05a-0aa689446d5a","ES SCN"
"97388cb5-cc31-3597-93cf-b22688bd543d","ES SCN"
"e01f9287-e361-3ee0-8ff7-d130329dc387","ES SCN"
"5d246b3c-c29f-3e8e-b1ca-4aedfdd344a2","ES SCN"
"62297b05-04a1-3998-a378-45c6f3f35fa9","ES SCN"
"1d6d3849-27d7-388c-b431-9a82512b34e1","ES SCN"
"86e9f967-bfb0-3bf5-9926-375b4c807db1","ES SCN"
"1137bcd0-ddee-3fae-9eb6-179a6c8f8cd6","ES SCN"
"272bb836-cc2b-316b-b56b-f1ec35639680","ES SCN"
"f9ccfad6-1506-31bd-96f1-e028fa1768dd","ES SCN"
"e97ddcf3-58ff-3826-b194-62dac3ff2296","ES SCN"
"fbf11303-fd57-3459-8352-359e6f95c677","ES SCN"
"5295ed6a-5c3f-319b-85db-86b5b8c7dfc4","ES SCN"
"f4506034-3893-3d8d-839f-60be52813aab","ES SCN"
"8e70e01c-8eae-30c8-b2cd-04e74e45f7db","ES SCN"
"457b9424-3f7c-3a1d-9b87-49240653c20c","ES SCN"
"deff098b-acdb-3a0a-92c0-b6f85c45a47b","ES SCN"
"90a27a0f-0f68-363c-94ba-733cb66d6a46","ES SCN"
"6efdf440-eb5a-3808-9868-90aaf0d5c487","ES SCN"
"e8884a81-f622-3df2-a8ea-17a07ff5ca82","ES SCN"
"8dfa0e6c-acc1-38e3-bb81-c3e6d00d2944","ES SCN"
"fa74a3cd-0185-3387-a5ae-1b2df9311c32","ES SCN"
"c17b86c9-5201-3664-8257-1412ae747eaa","ES SCN"
"92cc05e3-c929-3e0e-9487-1c8ddf234ff2","ES SCN"
"b2804498-25f4-3640-beeb-c0ddd0579b20","ES SCN"
"228abad0-ed29-3bac-95ff-ac3e60ef0e2e","ES SCN"
"322561e7-8238-30ee-be2d-51922f6f6dbe","ES SCN"
"34c04faf-c7db-3f77-950b-28f4ff929626","ES SCN"
"620d1276-74a1-3bdb-9be8-9d68da33853e","ES SCN"
"c638ad9d-7b4d-3ea8-b70b-ad133a4f96e2","ES SCN"
