"id","locode"
"ef2c151b-0558-3728-b121-9700173c7276","MZ VJB"
"a214231f-82d8-3b5b-90c7-7321c1e0980e","MZ VJB"
"b3d71674-70e4-350d-9b6e-db471d37f7c2","MZ VJB"
"5eb23a01-d539-301a-81e2-eb3450fbbbe9","MZ VJB"
"638acfa3-7dbe-30b9-a478-faf754eabc5f","MZ VJB"
"dea05311-4bc6-3334-83d4-342ba5e5763d","MZ VJB"
"27144c03-b8a5-3599-b5cf-3c4e2f9f8587","MZ VJB"
"d8c168bc-5e8e-3041-bd32-15f260019de4","MZ VJB"
"87959571-f3e0-3647-a498-45e13d736b9d","MZ VJB"
"98f02906-a952-3368-a2e5-dbedb1bcfa1b","MZ VJB"
"b723cb9f-0351-3552-ab07-152aff8379d3","MZ VJB"
"14d49c07-a304-3ec5-a95a-908a946b77c4","MZ VJB"
"849eb70a-4bf1-3bbd-ae07-9fa0c9a832a8","MZ VJB"
"c24973b3-e1f1-3cf3-aec2-91e9fb1037ec","MZ VJB"
"aa131add-7868-33f5-a3a2-35368f5cd0ce","MZ VJB"
"5a350923-fa6b-32ad-bdf8-4a4fb82fe299","MZ VJB"
"edebaa12-a210-318b-b9b8-9ce560fa9536","MZ VJB"
"84e1f4c3-74ec-33c2-a371-4b116eb45737","MZ VJB"
"72fdda0a-7606-33fd-968b-f566cf6b090d","MZ VJB"
"e28d73b5-c8dd-3027-bb2f-2a15fad2d984","MZ VJB"
"e3eb96a9-f00e-321e-bada-7daafdb6c4d1","MZ VJB"
"a0a0ac65-eb61-301d-8bdd-fb9149dfd842","MZ VJB"
"57f9616a-71fb-3a8b-899e-4782ea74690a","MZ VJB"
"ae9a9940-fb7f-38af-83dd-bf862d5648e3","MZ VJB"
"6bfd922d-aa13-3757-81c3-ef6c265f4f7b","MZ VJB"
"1dcb3939-af6c-3618-9586-2df8a0b391c3","MZ VJB"
"f63436dd-4091-354c-a204-416e3ef5efb2","MZ VJB"
"d8a76c83-3253-33b8-97e6-fcea5ae8e683","MZ VJB"
"b370d68f-168f-3d65-b2e9-bf2e2873e209","MZ VJB"
"9ce29489-4817-3f69-acf1-52448bf4ce01","MZ VJB"
"d0d07395-2d3b-3994-bde1-7977952b6563","MZ VJB"
"7bd9e249-8db7-36db-aa6f-95630f396ec3","MZ VJB"
"e2a16591-8665-309a-bb6f-e8be00be5ef7","MZ VJB"
"d671838b-974f-3378-a032-f36cd814c4c2","MZ VJB"
"942fe7ed-9e4d-38bf-a6b9-ab63fd3102f3","MZ VJB"
"b0a255d4-dac9-3b60-833f-7ddb46dd850c","MZ VJB"
"e16211d5-5e76-306f-b687-5aba5011040e","MZ VJB"
"c64b383a-e625-3baa-a4c1-74c76bdef0b0","MZ VJB"
