"gcp_reference_number","scope","reporting_level","sector","subsector","scope"
III.1.1,1,basic,Waste,Solid waste disposal,Emissions from solid waste generated within the city boundary and disposed in landfills or open dumps within the city boundary
III.1.2,3,basic,Waste,Solid waste disposal,Emissions from solid waste generated within the city boundary but disposed in landfills or open dumps outside the city boundary
III.1.3,1,territorial,Waste,Solid waste disposal,Emissions from waste generated outside the city boundary and disposed in landfills or open dumps within the city boundary
III.2.1,1,basic,Waste,Biological treatment of waste,Emissions from solid waste generated within the city boundary that is treated biologically within the city boundary
III.2.2,3,basic,Waste,Biological treatment of waste,Emissions from solid waste generated within the city boundary but treated biologically outside of the city boundary
III.2.3,1,territorial,Waste,Biological treatment of waste,Emissions from waste generated outside the city boundary but treated biologically within the city boundary
III.3.1,1,basic,Waste,Incineration and open burning,Emissions from solid waste generated and treated within the city boundary
III.3.2,3,basic,Waste,Incineration and open burning,Emissions from solid waste generated within the city boundary but treated outside of the city boundary
III.3.3,1,territorial,Waste,Incineration and open burning,Emissions from waste generated outside the city boundary but treated within the city boundary
III.4.1,1,basic,Waste,Wastewater treatment and discharge,Emissions from wastewater generated and treated within the city boundary
III.4.2,3,basic,Waste,Wastewater treatment and discharge,Emissions from wastewater generated within the city boundary but treated outside of the city boundary
III.4.3,1,territorial,Waste,Wastewater treatment and discharge,Emissions from wastewater generated outside the city boundary but treated within the city boundary
IV.1,1,basic+,Industrial Processes and Product Uses (IPPU),Emissions from industrial processes occurring within the city boundary,
IV.2,1,basic+,Industrial Processes and Product Uses (IPPU),Emissions from product use occurring within the city boundary,
V.1,1,basic+,"Agriculture, Forestry, and Other Land Use (AFOLU)",Livestock,
V.2,1,basic+,"Agriculture, Forestry, and Other Land Use (AFOLU)",Land,
V.3,1,basic+,"Agriculture, Forestry, and Other Land Use (AFOLU)",Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary,
VI.1,3,other,Other Scope 3,Other Scope 3,
