comuna_name,locode,region_name,comuna_code,region_code
Iquique,CL IQQ,Tarapacá,CL01101,CL01
Alto Hospicio,CL AHP,Tarapacá,CL01107,CL01
Tocopilla,,Tarapacá,CL01401,CL01
Camiña,CL CMA,Tarapacá,CL01402,CL01
Colchane,CL CNE,Tarapacá,CL01403,CL01
Huara,CL HUA,Tarapacá,CL01404,CL01
Pica,CL PIC,Tarapacá,CL01405,CL01
Antofagasta,CL ANF,Antofagasta,CL02101,CL02
Mejillones,CL MJS,Antofagasta,CL02102,CL02
Sierra Gorda,CL SIG,Antofagasta,CL02103,CL02
Taltal,CL TTC,Antofagasta,CL02104,CL02
Calama,CL CJC,Antofagasta,CL02201,CL02
Ollagüe,CL OLL,Antofagasta,CL02202,CL02
San Pedro de Atacama,CL SPA,Antofagasta,CL02203,CL02
Tocopilla,CL TOQ,Antofagasta,CL02301,CL02
María Elena,CL MAE,Antofagasta,CL02302,CL02
Copiapó,CL CPO,Atacama,CL03101,CL03
Caldera,CL CLD,Atacama,CL03102,CL03
Tierra Amarilla,CL TAM,Atacama,CL03103,CL03
Chañaral,CL CNR,Atacama,CL03201,CL03
Diego de Almagro,CL DDA,Atacama,CL03202,CL03
Vallenar,CL VLR,Atacama,CL03301,CL03
Alto del Carmen,CL ADC,Atacama,CL03302,CL03
Freirina,CL FRN,Atacama,CL03303,CL03
Huasco,,Atacama,CL03304,CL03
La Serena,CL LSC,Coquimbo,CL04101,CL04
Coquimbo,CL CQQ,Coquimbo,CL04102,CL04
Andacollo,CL AND,Coquimbo,CL04103,CL04
La Higuera,,Coquimbo,CL04104,CL04
Paihuano,,Coquimbo,CL04105,CL04
Vicuña,CL VIC,Coquimbo,CL04106,CL04
Illapel,CL ILL,Coquimbo,CL04201,CL04
Canela,CL CAN,Coquimbo,CL04202,CL04
Los Vilos,CL LOS,Coquimbo,CL04203,CL04
Salamanca,CL SAL,Coquimbo,CL04204,CL04
Ovalle,CL OVL,Coquimbo,CL04301,CL04
Combarbalá,CL CBB,Coquimbo,CL04302,CL04
Monte Patria,CL MTP,Coquimbo,CL04303,CL04
Punitaqui,CL PUN,Coquimbo,CL04304,CL04
Río Hurtado,CL RHU,Coquimbo,CL04305,CL04
Valparaíso,CL VAP,Valparaíso,CL05101,CL05
Casablanca,CL CAS,Valparaíso,CL05102,CL05
Concón,CL CON,Valparaíso,CL05103,CL05
Juan Fernández,,Valparaíso,CL05104,CL05
Puchuncaví,CL PCI,Valparaíso,CL05105,CL05
Quintero,,Valparaíso,CL05107,CL05
Viña del Mar,CL KNA,Valparaíso,CL05109,CL05
Isla de Pascua,CL IPC,Valparaíso,CL05201,CL05
Los Andes,CL LIB,Valparaíso,CL05301,CL05
Calle Larga,CL CLL,Valparaíso,CL05302,CL05
Rinconada,CL RIN,Valparaíso,CL05303,CL05
San Esteban,CL SES,Valparaíso,CL05304,CL05
La Ligua,CL LIG,Valparaíso,CL05401,CL05
Cabildo,,Valparaíso,CL05402,CL05
Papudo,CL PAP,Valparaíso,CL05403,CL05
Petorca,CL PET,Valparaíso,CL05404,CL05
Zapallar,,Valparaíso,CL05405,CL05
Quillota,CL QTA,Valparaíso,CL05501,CL05
Calera,CL LCL,Valparaíso,CL05502,CL05
Hijuelas,CL HIJ,Valparaíso,CL05503,CL05
La Cruz,CL LCZ,Valparaíso,CL05504,CL05
Nogales,CL NOG,Valparaíso,CL05506,CL05
San Antonio,CL SAI,Valparaíso,CL05601,CL05
Algarrobo,CL ALG,Valparaíso,CL05602,CL05
Cartagena,CL CGN,Valparaíso,CL05603,CL05
El Quisco,CL ELQ,Valparaíso,CL05604,CL05
El Tabo,CL ELT,Valparaíso,CL05605,CL05
Santo Domingo,CL RSD,Valparaíso,CL05606,CL05
San Felipe,CL SFP,Valparaíso,CL05701,CL05
Catemu,CL CAT,Valparaíso,CL05702,CL05
Llaillay,CL LLA,Valparaíso,CL05703,CL05
Panquehue,CL PQH,Valparaíso,CL05704,CL05
Putaendo,CL PTO,Valparaíso,CL05705,CL05
Santa María,CL SMA,Valparaíso,CL05706,CL05
Quilpué,CL QIL,Valparaíso,CL05801,CL05
Limache,CL LIM,Valparaíso,CL05802,CL05
Olmué,CL OLM,Valparaíso,CL05803,CL05
Villa Alemana,CL VIA,Valparaíso,CL05804,CL05
Rancagua,CL QRC,Libertador Bernardo O'Higgins,CL06101,CL06
Codegua,CL COD,Libertador Bernardo O'Higgins,CL06102,CL06
Coinco,CL COO,Libertador Bernardo O'Higgins,CL06103,CL06
Coltauco,CL CTC,Libertador Bernardo O'Higgins,CL06104,CL06
Doñihue,CL DOH,Libertador Bernardo O'Higgins,CL06105,CL06
Graneros,CL GRA,Libertador Bernardo O'Higgins,CL06106,CL06
Las Cabras,CL LCB,Libertador Bernardo O'Higgins,CL06107,CL06
Machalí,CL MCI,Libertador Bernardo O'Higgins,CL06108,CL06
Malloa,CL MAL,Libertador Bernardo O'Higgins,CL06109,CL06
Mostazal,CL MOS,Libertador Bernardo O'Higgins,CL06110,CL06
Olivar,CL OLI,Libertador Bernardo O'Higgins,CL06111,CL06
Peumo,CL PEU,Libertador Bernardo O'Higgins,CL06112,CL06
Pichidegua,CL PDH,Libertador Bernardo O'Higgins,CL06113,CL06
Quinta de Tilcoco,CL QDT,Libertador Bernardo O'Higgins,CL06114,CL06
Rengo,CL RGO,Libertador Bernardo O'Higgins,CL06115,CL06
Requínoa,CL REQ,Libertador Bernardo O'Higgins,CL06116,CL06
San Vicente,CL SVT,Libertador Bernardo O'Higgins,CL06117,CL06
Pichilemu,CL PLM,Libertador Bernardo O'Higgins,CL06201,CL06
La Estrella,CL LES,Libertador Bernardo O'Higgins,CL06202,CL06
Litueche,,Libertador Bernardo O'Higgins,CL06203,CL06
Marchigüe,,Libertador Bernardo O'Higgins,CL06204,CL06
Navidad,CL NAV,Libertador Bernardo O'Higgins,CL06205,CL06
Paredones,CL PAR,Libertador Bernardo O'Higgins,CL06206,CL06
San Fernando,CL SFD,Libertador Bernardo O'Higgins,CL06301,CL06
Chépica,CL CHE,Libertador Bernardo O'Higgins,CL06302,CL06
Chimbarongo,CL CBG,Libertador Bernardo O'Higgins,CL06303,CL06
Lolol,CL LOL,Libertador Bernardo O'Higgins,CL06304,CL06
Nancagua,CL NCG,Libertador Bernardo O'Higgins,CL06305,CL06
Palmilla,CL PMA,Libertador Bernardo O'Higgins,CL06306,CL06
Peralillo,CL PER,Libertador Bernardo O'Higgins,CL06307,CL06
Placilla,CL PLA,Libertador Bernardo O'Higgins,CL06308,CL06
Pumanque,CL PUM,Libertador Bernardo O'Higgins,CL06309,CL06
Santa Cruz,CL SCZ,Libertador Bernardo O'Higgins,CL06310,CL06
Talca,CL TLX,Maule,CL07101,CL07
Constitución,CL CST,Maule,CL07102,CL07
Curepto,CL CRT,Maule,CL07103,CL07
Empedrado,CL EMP,Maule,CL07104,CL07
Maule,CL MAU,Maule,CL07105,CL07
Pelarco,CL PEL,Maule,CL07106,CL07
Pencahue,CL PEN,Maule,CL07107,CL07
Río Claro,CL RCL,Maule,CL07108,CL07
San Clemente,CL SCT,Maule,CL07109,CL07
San Rafael,CL SRA,Maule,CL07110,CL07
Cauquenes,CL CAU,Maule,CL07201,CL07
Chanco,CL CHA,Maule,CL07202,CL07
Pelluhue,CL PLH,Maule,CL07203,CL07
Curicó,CL CUR,Maule,CL07301,CL07
Hualañé,CL HLE,Maule,CL07302,CL07
Licantén,CL LIC,Maule,CL07303,CL07
Molina,CL MOL,Maule,CL07304,CL07
Rauco,CL RAU,Maule,CL07305,CL07
Romeral,CL ROM,Maule,CL07306,CL07
Sagrada Familia,CL SAF,Maule,CL07307,CL07
Teno,CL TEN,Maule,CL07308,CL07
Vichuquén,CL VCQ,Maule,CL07309,CL07
Linares,CL LIN,Maule,CL07401,CL07
Colbún,CL COB,Maule,CL07402,CL07
Longaví,CL LON,Maule,CL07403,CL07
Parral,CL PRL,Maule,CL07404,CL07
Retiro,CL RET,Maule,CL07405,CL07
San Javier,CL SJV,Maule,CL07406,CL07
Villa Alegre,CL VAG,Maule,CL07407,CL07
Yerbas Buenas,CL YBU,Maule,CL07408,CL07
Concepción,CL CCP,Bío-Bío,CL08101,CL08
Coronel,CL CNL,Bío-Bío,CL08102,CL08
