region,formula_input_value,formula_input_units,datasource,actor_id,gas,parameter_code,parameter_name,year,formula_name,metadata,rnk,methodology_name,gpc_refno,methodology_id,formulainput_id
Barbados,91.0,g/capita/day,FAO stat,BB,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,d9de51e2-40e0-4da1-a608-9e5bd4ab4013
Belarus,92.0,g/capita/day,FAO stat,BY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,89fe38c9-4ab9-4c7b-adff-99a9f613d21d
Belgium,102.0,g/capita/day,FAO stat,BE,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5aba382f-cd3b-41c4-841b-5bb386e1b5f6
Belize,71.0,g/capita/day,FAO stat,BZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,d99161e2-825b-4ef2-9b26-65d9409890b6
Benin,61.0,g/capita/day,FAO stat,BJ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,7af4b07c-7c6b-4ad6-90e8-c973d8d79c5e
Bermuda,89.0,g/capita/day,FAO stat,BM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,c0a3c3b3-4e32-4eb2-af23-45ce313814cd
Bolivia (Plurinational State of),64.0,g/capita/day,FAO stat,BO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,f9cd46d0-1325-45a6-a2a0-592d2d69588e
Bosnia and Herzegovina,90.0,g/capita/day,FAO stat,BA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,2f0b6889-a3a0-402f-9470-5a5e75dd17c8
Botswana,64.0,g/capita/day,FAO stat,BW,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,f9f74ba3-d9b0-4e5e-a559-8ec7bab99b62
Brazil,92.0,g/capita/day,FAO stat,BR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,6523314d-cb64-45df-8144-0f8341a423d4
Brunei Darussalam,84.0,g/capita/day,FAO stat,BN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,eedbb0f9-4449-4270-816b-6f916aa4f46b
Bulgaria,82.0,g/capita/day,FAO stat,BG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,e4f7e741-2584-4c3c-a51a-51ac4825e8a9
Burkina Faso,80.0,g/capita/day,FAO stat,BF,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,f92f9427-2d3b-42df-8dbd-094525f57919
Cabo Verde,75.0,g/capita/day,FAO stat,CV,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,560e405a-6785-4308-bb62-a26cc73d150d
Cambodia,63.0,g/capita/day,FAO stat,KH,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,8af774d7-13f7-412d-a5a0-5e67a3c28a48
Cameroon,68.0,g/capita/day,FAO stat,CM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,ab111e3b-c814-4817-8666-cb3d6ad1fe54
Canada,104.0,g/capita/day,FAO stat,CA,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,ce456ee8-b196-4d34-95a4-2255a75f9d95
Central African Republic,53.0,g/capita/day,FAO stat,CF,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,13cf0ba7-c4ac-4bab-b6b8-7c4daff85ae8
Chad,62.0,g/capita/day,FAO stat,TD,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,1aaa2b73-679e-4660-bc93-681c68aadec5
Chile,85.0,g/capita/day,FAO stat,CL,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,a7d017bb-99b1-4c9f-b420-92a621506a9b
China,94.0,g/capita/day,FAO stat,CN,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,c7abcca0-e420-48c9-bb10-e12f75517f0e
Colombia,62.0,g/capita/day,FAO stat,CO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,01540ccf-d63d-405d-8601-762128a6ddbd
Congo,50.0,g/capita/day,FAO stat,CG,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,a129394d-daaa-43bd-9856-bece002b838f
Costa Rica,76.0,g/capita/day,FAO stat,CR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,da1195c9-7009-4669-b573-aab2114a5ffb
Côte d'Ivoire,58.0,g/capita/day,FAO stat,CI,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,b14d7115-9d6f-4c67-bfc1-41110ac48e02
Croatia,83.0,g/capita/day,FAO stat,HR,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,cb283d01-a08d-4250-ad39-f560cb4770d8
Cuba,83.0,g/capita/day,FAO stat,CU,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,8d2ba388-16e1-4520-a54d-8888ce443e57
Cyprus,79.0,g/capita/day,FAO stat,CY,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,687d731a-e375-4053-968d-b1c40c0955c3
Czech Republic,92.0,g/capita/day,FAO stat,CZ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,e99a5616-d40a-4da3-bb19-438ac6d6e0ef
Democratic People's Republic of Korea,56.0,g/capita/day,FAO stat,KP,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,6e3ceb4e-a29a-4751-9843-969f84c8984d
Denmark,107.0,g/capita/day,FAO stat,DK,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,58565001-1a19-43cf-aadc-176d8eb99625
Djibouti,63.0,g/capita/day,FAO stat,DJ,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,1f9b9694-362e-4369-bfa4-b4f08f80d298
Dominica,88.0,g/capita/day,FAO stat,DM,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,5fb1c2f4-c3f1-4c70-ae3c-bbf131efeebf
Dominican Republic,58.0,g/capita/day,FAO stat,DO,N2O,protein,protein_consumption,,domestic-wastewater,,1,wastewater-inside-domestic-calculator-activity,III.4.1,4025beed-cbe5-301d-8cd6-f706531cba42,29227181-ec65-4a4d-b06e-019df543430b
