gas,parameter_code,parameter_name,methodology_name,gpc_refno,year,formula_input_value,formula_input_units,formula_name,metadata,region,actor_id,datasource,rnk,methodology_id,formulainput_id
CH4,COD,chemical-oxygen-demand,wastewater-inside-industrial-calculator-activity,III.4.1,,9.0,Kg/m3,industrial-wastewater,"{""industry_type"":""industry-type-coffee""}",world,world,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,87918349-705a-40ea-bfa2-e639a4e11a90
CH4,COD,chemical-oxygen-demand,wastewater-inside-industrial-calculator-activity,III.4.3,,2.9,Kg/m3,industrial-wastewater,"{""industry_type"":""industry-type-meat-and-poultry""}","Region: Western Europe, Country: Netherlands",NL,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,c27422f9-fdea-4d2f-aef9-6c3781d43613
CH4,COD,chemical-oxygen-demand,wastewater-inside-industrial-calculator-activity,III.4.3,,9.0,Kg/m3,industrial-wastewater,"{""industry_type"":""industry-type-pulp-and-paper""}",world,world,IPCC,1,a6c1fa15-4405-3900-b649-966c8c7aeae6,79ec163d-f061-4720-a04b-7620e4159239
CH4,FCFi,fraction-of-fossil-carbon,incineration-waste-inboundary-methodology,III.3.1,,0.38,fraction,incineration-waste,"{""waste-type"":""waste-type-muncipal-solid-waste""}",world,world,IPCC,1,e4508774-ab32-3827-aa3a-8cdf9d943631,c0a6c736-7e91-4625-8a8b-b68b54bfe268
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.1,,0.75,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Asia,ID,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,1f7093fb-e11d-4a0d-8ebd-b0db9a1ee72b
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.1,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-digester-for-sludge""}",world,world,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,8e71ac9b-7750-4e69-a187-05e3834b09fd
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.1,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,EG,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,fcf312c5-3492-40f1-b8b0-644d64cd6efa
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.1,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,SD,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,b1614460-dee3-45f0-b87a-3a4066334dcd
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.1,,0.8,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Africa,SN,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,3b71a9d5-d7cd-45bd-96b4-27f469e7e37f
CH4,MCF,methane-correction-factor,wastewater-inside-domestic-calculator-activity,III.4.3,,0.7,fraction,domestic-wastewater,"{""treatment-status"":""treatment-status-type-wastewater-treated"",""treatment-type"":""treatment-type-anaerobic-reactor""}",Region: Australia And New Zealand,AU,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,b95a095b-89f0-42de-9967-612813a91c73
